card_url,image_url,В ЖК,Адрес,От метро,"Цена, ₽","Цена за м², ₽",Комнат,Этаж,Этажность,Площадь,description,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://www.cian.ru/sale/flat/311572485/,https://images.cdn-cian.ru/images/2357454696-4.jpg,ЖК «Остафьево»,"Москва, НАО (Новомосковский), м. Бульвар Адмирала Ушакова, с. Остафьево, Остафьево ЖК, к23",Транспортом,8939391.0,155739.0,2.0,2.0,12.0,57.4,"Ипотека 5,9% на два года. Продается 2-комн. квартира. Квартира расположена на 2 этаже 12 этажного монолитного дома (Корпус 23, Секция 1) в ЖК ""Остафьево"" от группы ""Самолет"". 

""Остафьево"" — масштабный жилой комплекс в Новой Москве, рядом с одноименным музеем-усадьбой и городским парком ""Барыши"". До станций МЦД ""Щербинка"" и ""Остафьево"" можно добраться на автомобиле за 57 минут.
Часть домов уже сдана, на территории открыты две школы и два детских сада, а в будущем будет построена поликлиника, ТЦ, еще одна школа и четыре детских сада.
Все необходимое рядом: на первых этажах домов работают магазины, аптеки и кафе. 
Дворы — приватные мини-парки без машин и посторонних. Кроме игровых площадок, для детей обустроили тематический плейхаб ""Маяк"". В будущем появятся плейхаб ""Алиса в стране чудес"", арт-объект ""Тропа зеркал"", а также большой ландшафтный парк.
В квартале — монолитные дома комфортной высоты, от 10 этажей. Светлые фасады украшают кирпичные вставки в теплых природных оттенках.
 
Цена динамическая и может отличаться, уточняйте актуальность у застройщика. Купить 2-комнатную квартиру рядом с метро Бульвар Адмирала Ушакова.",,57.4,8.9,155.7
https://www.cian.ru/sale/flat/307204483/,https://images.cdn-cian.ru/images/2265350528-4.jpg,ЖК «Столичные поляны»,"Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, улица Поляны, 5Ак1",Пешком,23000000.0,250000.0,2.0,11.0,33.0,92.0,"Номер в базе: 2334036. Продается великолепная евротрешка в престижном жилом комплексе ""Столичные поляны""! 

- ремонт выполнен на 80% с использованием современных материалов
- предусмотрены два санузла, один из которых оборудован подсобным помещением с раковиной, стиральной машиной и бойлером.  
-окна выходят на внутренний двор 
-стильный встроенный кухонный гарнитур от фабрики ""Стильные кухни""

Транспортная доступность — еще одно неоспоримое преимущество! Всего 10 минут пешком до метро и 20 минут до МЦД2, а также удобные автобусные маршруты, включая 523. В шаговой доступности находятся детские сады, школы и детская поликлиника через дорогу, а взрослая — всего в 10 минутах.

Любители природы оценят близость к Битцевскому лесу и парку, где можно приятно провести время на свежем воздухе. 

Не упустите возможность стать обладателем этой замечательной квартиры! Звоните и записывайтесь на просмотр, чтобы оценить все преимущества жизни в ""Столичных полях""!

Код пользователя: 160378 Продам 2-комнатную квартиру рядом с метро Бульвар Адмирала Ушакова.",,92.0,23.0,250.0
https://www.cian.ru/sale/flat/311422729/,,ЖК «LIFE-Лазаревское»,"Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, улица Адмирала Лазарева, 63к3",Транспортом,15500000.0,292453.0,2.0,6.0,24.0,53.0,"В комплексе ""LIFE-Лазаревское"" предлагается двухкомнатная квартира. Светлая отделка станет прекрасной основой для любого интерьера. Планировкой предусмотрены лоджия и раздельный санузел.

В окружении дома работают магазины, медклиники, аптеки, отделения банков, а рядом раскинулся ландшафтный парк Южное Бутово. Транспортная доступность обеспечена выездом на улицу Поляны и МКАД, а также близостью метро ""Бунинская аллея"".

 - Свободная продажа, перепланировка не производилась.
 - Дом находится на охраняемой территории.
 - Квартиру представляет агент Capital Mars - Татьяна.
 - ID объекта 790271. Продается 2-комнатная квартира рядом с метро Бульвар Адмирала Ушакова.",,53.0,15.5,292.5
https://www.cian.ru/sale/flat/310897148/,https://images.cdn-cian.ru/images/2342767641-4.jpg,ЖК «Южные сады»,"Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, Южные Сады ЖК",Транспортом,14838548.0,274280.0,2.0,19.0,30.0,54.1,"Продается двухкомнатная квартира  355 в новостройке ЖК ""Южные Сады"" по адресу Москва, ЮЗАО, Южное Бутово, ул. Бартеневская, д. 16. Общая площадь квартиры - 54.10 кв. м., этаж 19 из 30, секция 4. Тип проекта, по которому построен дом - монолит, компания-застройщик - ООО ""А101"". Стоимость квартиры - 14838548 Р. Срок сдачи - 2 квартал 2027. 

ПРЕДЛОЖЕНИЯ ОТ ЗАСТРОЙЩИКА В ЯНВАРЕ 2025:
Акция: скидка до 10% на квартиры только до конца января!
Скидка 5% для семей, ожидающих ребёнка! (Суммируется с другими скидками)
Купи и копи! Ипотека от 1 рубля в месяц - до ввода дома в эксплуатацию!

""Южные сады"" на юго-западе Москвы - это жилой комплекс монолитных домов с авторской архитектурой, холлами в средиземноморском стиле, колясочными, современными лифтами, паркингом и кладовыми. Южную атмосферу в районе создадут:
- перголы с вьющимися растениями, живые изгороди, садовые дорожки
- цветущие, плодовые и вечнозелёные растения
- стилизация под средиземноморский ландшафт
- амфитеатр и игровой кластер со скалодромом.

За безопасность ""отвечают"" закрытые дворы без машин с доступом только для жителей дома, видеонаблюдение, вход по магнитным ключам.
Рядом ландшафтный парк ""Южное Бутово"", Черневские пруды: театры, танцплощадка, крытые беседки, детские и спортивные комплексы, пикниковые зоны, пешеходные дорожки, деревянные настилы.
На первых этажах домов: супермаркеты, кафе, банки, фитнес, пекарни. В пешей доступности - торговые центры, гипермаркет, ФОК, действующая инфраструктура. Для семей с детьми - кружки, секции, детские клубы,центры развития, языковые школы.

Преимущества ""Южных садов"":
- атмосферное ""средиземноморское"" благоустройство
- 3 станции метро: ""Бунинская аллея"", ""Улица Горчакова"", ""Новомосковская"" - в пределах 1,6 км
- в окружении - развитая инфраструктура обжитой локации
- в пешей доступности - Бутовский лесопарк 2-комнатная квартира рядом с метро Бульвар Адмирала Ушакова.",,54.1,14.8,274.3
https://www.cian.ru/sale/flat/304537333/,https://images.cdn-cian.ru/images/2216283710-4.jpg,,"Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, Южнобутовская улица, 76",Транспортом,15500000.0,277778.0,2.0,7.0,12.0,55.8,"Арт. 69497830 Продается роскошная 2-х комнатная квартира:  
Расположена в активно развивающийся района Москвы: Южное Бутово  по адресу: ул Южнобутоваская 76 на 7-м этаже 12-ти этажного дома, общая площадь 55,8 м2


СОВРЕМЕННЫЙ РЕМОНТ:
- выровнены стены и пол, усилена шумоизоляция,
- новая проводка, счетчики, трубы,
- входная дверь с усиленной защитой, надежные замки,
- пластиковые стеклопакеты на всех окнах,
- имеется ниша под небольшой шкаф 
- качественная современная мебель,
- натяжные потолки,
- на полу кварцвинил
- в ванной кафель/душевая кабина/современная стиральная машина,
- встроенная кухня со всей необходимой бытовой техникой 
- кондиционер,
- проведен интернет, кабельное ТВ.

ШАГОВАЯ ДОСТУПНОСТЬ:
-метро Бунинская аллея 
- государственные учреждения,
- бизнес-центры,
- банки,
- торгово-развлекательные комплексы,
- все виды магазинов,
- рестораны
- салоны красоты,
- мед. клиники,
- детский сад,Ясли 8
- школа,  2009.к.10;  2009 к.9; 1492
-реабилитационная школа интернат 118
-детская поликлиника 118
-спортивный комплекс ""Изумрудный""-
-пляж ""южное бутово"" с прогулочными зонами и спортивными площадками
- рядом остановка транспорта,
- удобная транспортная развязка.

Звоните прямо сейчас, пока квартиру вашей мечты не купил кто-то другой! Продажа.",,55.8,15.5,277.8
https://www.cian.ru/sale/flat/308489079/,https://images.cdn-cian.ru/images/kvartira-moskva-yuzhnobutovskaya-ulica-2293889409-4.jpg,,"Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, Южнобутовская улица, 72",Транспортом,12950000.0,249038.0,2.0,7.0,10.0,52.0,"Продается светлая, уютная двухкомнатная квартира рядом с метро (5 минут пешком метро Бунинская Аллея). Квартира после ремонта, на кухни эркер, дорогая входная дверь, застекленная лоджия. Развитый район Москвы, рядом есть все необходимое для вашей комфортной жизни: банки, сетевые магазины, Ландшафтный парк Южное Бутово, детские сады и школы, фитнес, торговые центры. Один взрослый собственник. Свободная продажа. Документы готовы к сделке, подходит под ипотеку. Оперативный показ.",,52.0,12.9,249.0
https://www.cian.ru/sale/flat/310897131/,https://images.cdn-cian.ru/images/2342768006-4.jpg,ЖК «Южные сады»,"Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, Южные Сады ЖК",Транспортом,14235139.0,311491.0,2.0,19.0,22.0,45.7,"Продается двухкомнатная квартира  517 в новостройке ЖК ""Южные Сады"" по адресу Москва, ЮЗАО, Южное Бутово, ул. Бартеневская, д. 16. Общая площадь квартиры - 45.70 кв. м., этаж 19 из 22, секция 5. Тип проекта, по которому построен дом - монолит, компания-застройщик - ООО ""А101"". Стоимость квартиры - 14235139 Р. Срок сдачи - 2 квартал 2027. 

ПРЕДЛОЖЕНИЯ ОТ ЗАСТРОЙЩИКА В ЯНВАРЕ 2025:
Акция: скидка до 10% на квартиры только до конца января!
Скидка 5% для семей, ожидающих ребёнка! (Суммируется с другими скидками)
Купи и копи! Ипотека от 1 рубля в месяц - до ввода дома в эксплуатацию!

""Южные сады"" на юго-западе Москвы - это жилой комплекс монолитных домов с авторской архитектурой, холлами в средиземноморском стиле, колясочными, современными лифтами, паркингом и кладовыми. Южную атмосферу в районе создадут:
- перголы с вьющимися растениями, живые изгороди, садовые дорожки
- цветущие, плодовые и вечнозелёные растения
- стилизация под средиземноморский ландшафт
- амфитеатр и игровой кластер со скалодромом.

За безопасность ""отвечают"" закрытые дворы без машин с доступом только для жителей дома, видеонаблюдение, вход по магнитным ключам.
Рядом ландшафтный парк ""Южное Бутово"", Черневские пруды: театры, танцплощадка, крытые беседки, детские и спортивные комплексы, пикниковые зоны, пешеходные дорожки, деревянные настилы.
На первых этажах домов: супермаркеты, кафе, банки, фитнес, пекарни. В пешей доступности - торговые центры, гипермаркет, ФОК, действующая инфраструктура. Для семей с детьми - кружки, секции, детские клубы,центры развития, языковые школы.

Преимущества ""Южных садов"":
- атмосферное ""средиземноморское"" благоустройство
- 3 станции метро: ""Бунинская аллея"", ""Улица Горчакова"", ""Новомосковская"" - в пределах 1,6 км
- в окружении - развитая инфраструктура обжитой локации
- в пешей доступности - Бутовский лесопарк",,45.7,14.2,311.5
https://www.cian.ru/sale/flat/310466955/,https://images.cdn-cian.ru/images/2333989318-4.jpg,,"Москва, НАО (Новомосковский), м. Бульвар Адмирала Ушакова, Сосенское поселение, Скандинавия ЖК, улица Эдварда Грига, 15",Транспортом,14990000.0,214143.0,2.0,2.0,16.0,70.0,"Продается двухкомнатная квартира в новом ЖК бизнес-класса!

Рядом открылась новая станция метро Потапово, пешком 5 минут (возможно и меньше). Район хорошо развивается, открываются много магазинов и общепита. На данный момент в пешей доступности есть практически все для комфортной жизни.

Интересно реализована идея ""двор без машин"". Для пешеходов продуманы прогулочные зоны, скамейки. Во дворе сделана большая спортивная площадка для спорта (турники и тренажеры). Двор как мини парк.
Общая площадь 69,6м2. Изолированые комнаты.

В подарок к квартире отдаем дизайн проект от известной дизайнерской мастерской. Полостью продуманное переоборудование пространства квартиры. Посчитано все до мелочей. Вы реально можете сэкономить не только деньги, но и кучу времени на разработку данного проекта!
 

Быстрый выход на сделку.
Прямая продажа. 
Без залогов и ипотек.
Прописанных нет

 
Звоните!
Все расскажем и организуем просмотр квартиры в удобное для Вас время!",,70.0,15.0,214.1
https://www.cian.ru/sale/flat/303773066/,https://images.cdn-cian.ru/images/2238400483-4.jpg,ЖК «Скандинавия»,"Москва, НАО (Новомосковский), м. Бульвар Адмирала Ушакова, бульвар Скандинавский, 23к2",Транспортом,14399000.0,262277.0,2.0,7.0,14.0,54.9,"Лот:7575. 
Продаётся квартира с уникальной для комплекса планировкой *Распашонка*

О квартире:
Просторный коридор: 9.8 кв.м.
Кухня с лоджией  12,1 кв. м. (9.9 + 2.2)
2 изолированные комнаты: 14.1 кв.м. / 15.4 кв. м.
2 сан.узла: 1.9 кв. м. / 3.7 кв. м.

Инфраструктура: Школы, сады, образовательные центры,  обилие кафе и ресторанов, большой гипермаркет Глобус, парки и лесопарковая зона (около 100га) .

Документы:
Более 5 лет в собственности по ДДУ
Полная стоимость в договоре
Обременение - 400 тыс. (закроем до сделки)
Материнский капитал не использовался

Транспортная доступность сейчас:
От дома до остановка 5 мин (пешком)
2 остановки на автобусе (10 минут)
45 минут на метро до центра Москвы

Открытие станции метро Потапово в 2024 году, в пешей доступности - 15 минут.

Свободная продажа, быстрый выход на сделку!

Помощь в одобрении ипотечного кредита!",,54.9,14.4,262.3
https://www.cian.ru/sale/flat/311358778/,https://images.cdn-cian.ru/images/2352785105-4.jpg,ЖК «Остафьево»,"Москва, НАО (Новомосковский), м. Бульвар Адмирала Ушакова, с. Остафьево, Остафьево ЖК, к22",Транспортом,13217616.0,230272.0,2.0,9.0,14.0,57.4,"Ипотека 5,9% на два года. Продается 2-комн. квартира. Квартира расположена на 9 этаже 14 этажного монолитного дома (Корпус 22, Секция 9) в ЖК ""Остафьево"" от группы ""Самолет"". 

""Остафьево"" — масштабный жилой комплекс в Новой Москве, рядом с одноименным музеем-усадьбой и городским парком ""Барыши"". До станций МЦД ""Щербинка"" и ""Остафьево"" можно добраться на автомобиле за 57 минут.
Часть домов уже сдана, на территории открыты две школы и два детских сада, а в будущем будет построена поликлиника, ТЦ, еще одна школа и четыре детских сада.
Все необходимое рядом: на первых этажах домов работают магазины, аптеки и кафе. 
Дворы — приватные мини-парки без машин и посторонних. Кроме игровых площадок, для детей обустроили тематический плейхаб ""Маяк"". В будущем появятся плейхаб ""Алиса в стране чудес"", арт-объект ""Тропа зеркал"", а также большой ландшафтный парк.
В квартале — монолитные дома комфортной высоты, от 10 этажей. Светлые фасады украшают кирпичные вставки в теплых природных оттенках.
 
Цена динамическая и может отличаться, уточняйте актуальность у застройщика.",,57.4,13.2,230.3
