card_url,image_url,В ЖК,Адрес,От метро,"Цена, ₽","Цена за м², ₽",Комнат,Этаж,Этажность,Площадь,description,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://www.cian.ru/sale/flat/312256144/,https://images.cdn-cian.ru/images/2372001511-4.jpg,ЖК «Новые Смыслы»,"Москва, НАО (Новомосковский), м. Бунинская аллея, № 174 кв-л, Новые Смыслы ЖК",Транспортом,12502000.0,235000.0,2.0,3.0,30.0,53.2,"В жилом комплексе, расположенном по соседству с ландшафтным парком ""Южное Бутово"", продается  2-комнатная квартира  площадью 53.20 кв. м. без отделки. Квартира расположена на 3 этаже 1 корпуса в жилом квартале комфорт-класса ""Новые Смыслы"" (ГК Unikey/Юникей).
                
Доступная и удобная локация:
-   10 минут ходьбы до станции метро ""Потапово"".
-	25 минут ходьбы до станции метро ""Бунинская аллея"".
-	15 минут на авто до Калужского шоссе.
-	20 минут на авто до МКАД.
-	30 минут на машине до аэропортов ""Внуково"" и ""Остафьево"".

Продуманный архитектурный проект:
-	Разноуровневые секции с эстетичные башнями и контрастными цветовыми сочетаниями, напоминающими башни в Сити. 
-	Сказочные виды из окон на современный район столицы.
-	Авторские планировки с потолками в 3 метра, просторными кухнями-гостиными и мастер-спальнями.
-	Комфортные бесплатные общественные пространства.
-	Подземный паркинг с прямым доступом на лифте.
-	Настоящий лес с живописными пейзажами и прудом прямо во дворе.

Расположение
Комплекс ""Новые Смыслы"" расположится в благоприятном районе Новой Москвы - Коммунарка. Зеленое окружение, богатая инфраструктура развивающегося района - все это сформирует особое пространство для комфортной жизни, наполненной смыслом. 
10 минут на велосипеде - и вы в ландшафтном парке ""Южное Бутово"" или сквере у Потаповских прудов. Чуть дальше расположен Бутовский лесопарк.
В окружении ""Новых Смыслов"" вы найдете все необходимые социальные объекты. В двух шагах от дома находится 5 школ, более десятка детских садов, секции для занятий малышей и подростков, частные клиники, супермаркеты, рестораны, студии красоты и фитнес-центры. За 12 минут на авто вы доберетесь до ледовой арены, комплекса ""Спорт Станция"" и спа-центра ""Termoland"". 

Внутренняя инфраструктура
Для жителей ""Новых Смыслов"" будут созданы бесплатные общественные пространства: 
-	Деловая гостиная с эстетичным коворкингом и переговорными.
-	Гостиная для души и тела, включающая фитнес-зону с тренажерами и пространства для стретчинга, йоги и медитаций.
-	Гостиная детства, где дети будут играть и развиваться под присмотром тьютора.
-	Кино-гостиная - кинотеатр на крыше одного из домов, предлагающий разнообразную программу.
-	Прачечная, работающая только для жильцов.
Вместе с корпусами комплекса на территории запланировано строительство детского сада. На первых этажах корпусов откроются кофейни, пекарни, сервисы быта и пункты доставки.

Благоустройство
Чтобы отдохнуть от суеты города, достаточно выйти во двор: здесь раскинулся настоящий лес с живописными пейзажами. В тени деревьев жителей ждут пруд с мостиком и беседкой на берегу, тихие прогулочные аллеи, спортивная площадка и зоны для занятий йогой и бадминтоном на свежем воздухе.
Юных жителей порадуют современные детские площадки, жукарий и специальное пространство для подвижных игр.
Безопасность на территории гарантирована: двор огорожен от машин и оснащен камерами видеонаблюдения. 2-комнатная квартира рядом с метро Бунинская аллея.",,53.2,12.5,235.0
https://www.cian.ru/sale/flat/312233207/,https://images.cdn-cian.ru/images/kvartira-kommunarka-potapovskaya-roshca-ulica-2371507884-4.jpg,ЖК «Белые ночи»,"Москва, НАО (Новомосковский), м. Бунинская аллея, пос. Коммунарка, улица Потаповская Роща, 26к2",Пешком,16500000.0,256610.0,,,,,"Продается уютная и просторная 2-комнатная квартира площадью 60,30 кв.м. плюс 4 кв.м. лоджия на 12 этаже 12-этажного дома. Это идеальное предложение для тех, кому важен комфорт и удобство в каждой детали.

Квартира полностью готова к заселению, в ней выполнен свежий и современный ремонт. Особое внимание уделено качеству материалов и функциональности планировки. Здесь есть все необходимое для комфортного проживания. В лоджии оборудована полноценная комната -  утеплены стены, проложен теплый пол, заменены стеклопакеты. 

Квартира продается с мебелью (кроме детской) и встроенной техникой.

Отличное сочетание цены и качества делает это предложение особенно привлекательным для покупателей. С нами вы можете приобрести эту квартиру в кредит, воспользовавшись программами ипотечного кредитования.

Рядом с домом расположены школа 1492 и школа 338, что делает эту квартиру идеальным выбором для семей с детьми. Также рядом есть консультативно-диагностическая поликлиника 121, где можно получить качественную медицинскую помощь.

Для вашего удобства в шаговой доступности находятся магазины: ""Пятёрочка"" и ""Красное&Белое"", где всегда можно найти все необходимое для повседневной жизни.

До метро ""Потапово"" (красная ветка) 13 минут пешком.

Один взрослый собственник. Собственность более 5 лет. Без долгов и обременений. 

Не упустите возможность стать счастливым обладателем этой замечательной квартиры. Звоните прямо сейчас и мы организуем для вас просмотр объекта и ответим на все ваши вопросы. Ваше новое жилье уже ждет вас! Продам 2-комнатную квартиру рядом с метро Бунинская аллея.",,nan,16.5,256.6
https://www.cian.ru/sale/flat/306940269/,https://images.cdn-cian.ru/images/2260454050-4.jpg,,"Москва, НАО (Новомосковский), м. Бунинская аллея, Щербинка, улица Пушкинская, 1/2",Транспортом,7990000.0,209711.0,2.0,7.0,14.0,38.1,"Продается уютная 2-комнатная квартира в тихом и спокойном районе. Развитая инфраструктура, магазины, аптеки, школа, сад - все в шаговой доступности. Станция Щербинка D2 - в 2 минутах ходьбы. Прописка Москва. Один взрослый собственник, документам более 20 лет. Быстрый выход на сделку. Оперативный показ.

Арт. 73280922 Продается 2-комнатная квартира рядом с метро Бунинская аллея.",,38.1,8.0,209.7
https://www.cian.ru/sale/flat/310898729/,https://images.cdn-cian.ru/images/2342682415-4.jpg,ЖК «Скандинавия»,"Москва, НАО (Новомосковский), м. Бунинская аллея, Сосенское поселение, Скандинавия ЖК, 25.3",Транспортом,15577475.0,322515.0,2.0,14.0,17.0,48.3,"Продается двухкомнатная квартира  428 в новостройке Жилой район ""Скандинавия"" по адресу Москва, ТиНАО, Новомосковский АО, Сосенское С/П, Коммунарка пос., жилой комплекс Скандинавия, 25.3, район Коммунарка, Новомосковский административный округ, Москва. Общая площадь квартиры - 48.30 кв. м., этаж 14 из 17, секция 3. Тип проекта, по которому построен дом - монолит, компания-застройщик - ООО ""А101"". Стоимость квартиры - 15577475 Р. Срок сдачи - 4 квартал 2025. 

ПРЕДЛОЖЕНИЯ ОТ ЗАСТРОЙЩИКА В ЯНВАРЕ 2025:
Акция: скидка до 7% на квартиры только до конца января!
Скидка 5% для семей, ожидающих ребёнка! (Суммируется с другими скидками)
Купи и копи! Ипотека от 1 рубля в месяц - до ввода дома в эксплуатацию!
Не решаетесь брать ипотеку на квартиру, потому что арендуете жильё? Берите квартиру в ГК ""А101"" и снимайте на бонусы от покупки! Программа ""А101Бонус"".
Ипотека на машино-места в ЖК от ГК""А101""! Не арендуй место для машины, а плати за своё!

ЖК ""Скандинавия"" на границе Бутовского лесопарка (1610 га) - это баланс качественного жилья и сервисов, зелёных пространств для активного и созерцательного отдыха.
Выразительная архитектура и цветовая гамма монолитных корпусов комфорт- и бизнес-класса (8-17 этажей) созвучны скандинавским мотивам, органично интегрированы в великолепный природный контекст.
Огороженные дворы свободны от машин, в них продуманы места для отдыха и работы на свежем воздухе, озеленение, детские и спортивные площадки. Для прогулок, встреч и районных праздников - площадь Туве Янссон с ""сухим"" фонтаном, вековыми дубами и единственным в мире памятником писательнице; пешеходный променад 2 км; 3 крупных природных ручья; более 15 км велосипедных и прогулочных дорожек с арт-объектами.
Инфраструктура района включает современные школы и детские сады, центр впечатлений, фитнес-клубы, развивающие и творческие центры, магазины, кафе, салоны красоты.
На подземных этажах - паркинги и кладовые.

Преимущества ""Скандинавии"":
- ст. метро ""Потапово"" - 100 м от ближайших домов (открыта!)
- удобные выезды на трассу Солнцево - Бутово - Варшавское шоссе и ул. Бачуринская
- свои школы и детские сады
- инфраструктура на первых этажах и рядом с домом
- лесопарк, природные водоёмы, прогулочные маршруты Купить 2-комнатную квартиру рядом с метро Бунинская аллея.",,48.3,15.6,322.5
https://www.cian.ru/sale/flat/308155210/,https://images.cdn-cian.ru/images/2287411338-4.jpg,ЖК «Белые ночи»,"Москва, НАО (Новомосковский), м. Бунинская аллея, пос. Коммунарка, улица Потаповская Роща, 20к1",Транспортом,14500000.0,262206.0,2.0,4.0,15.0,55.3,"Номер в базе: 849927. Современная Евро 3х-комнатная квартира в 7 минутах от метро!
К сделке готовы!

Квартира с идеальной семейной планировкой: две изолированные спальни, кухня-гостиная с выходом на балкон с панорамным остеклением и два с/у (один из которых можно переделать под гардеробную).
Площадь квартиры 55.3 кв.м + площадь балкона 2.8 кв.м.

Новый ремонт в лаконичных тонах! Никто не проживал!

ЖК комфорт-класса ""Белые Ночи"" уже имеет собственную школу и детский сад. Во дворах предусмотрены детские и взрослые зоны отдыха, а так же современные спортивные площадки! Первые этажи - коммерческие (магазины, кафе, салоны, аптеки и многое др.)
Современная школа и детский сад на территории жилого комплекса!

Cт. метро Потапово (~600 метров от дома) и магистраль Солнцево-Бутово-Варшавское шоссе уже открыты! Рядом с домом остановки общественного транспорта и современные наземные переходы. 

Один взрослый собственник, без обременений! Оперативный показ!


Код пользователя: 49912 Купить 2-комнатную квартиру Рядом с метро Бунинская аллея.",,55.3,14.5,262.2
https://www.cian.ru/sale/flat/311422729/,,ЖК «LIFE-Лазаревское»,"Москва, ЮЗАО, р-н Южное Бутово, м. Бунинская аллея, улица Адмирала Лазарева, 63к3",Пешком,15500000.0,292453.0,2.0,6.0,24.0,53.0,"В комплексе ""LIFE-Лазаревское"" предлагается двухкомнатная квартира. Светлая отделка станет прекрасной основой для любого интерьера. Планировкой предусмотрены лоджия и раздельный санузел.

В окружении дома работают магазины, медклиники, аптеки, отделения банков, а рядом раскинулся ландшафтный парк Южное Бутово. Транспортная доступность обеспечена выездом на улицу Поляны и МКАД, а также близостью метро ""Бунинская аллея"".

 - Свободная продажа, перепланировка не производилась.
 - Дом находится на охраняемой территории.
 - Квартиру представляет агент Capital Mars - Татьяна.
 - ID объекта 790271.",,53.0,15.5,292.5
https://www.cian.ru/sale/flat/310891363/,https://images.cdn-cian.ru/images/2342576461-4.jpg,ЖК «Бунинские кварталы»,"Москва, НАО (Новомосковский), м. Бунинская аллея, Бунинские Кварталы ЖК, 9.1",Транспортом,9588626.0,225085.0,2.0,19.0,19.0,42.6,"Продается двухкомнатная квартира  1010 в новостройке ЖК ""Бунинские кварталы"" по адресу Москва, ТиНАО, Новомосковский АО, Сосенское С/П, жилой комплекс Бунинские Кварталы, 9.4, район Коммунарка, Новомосковский административный округ, Москва. Общая площадь квартиры - 42.60 кв. м., этаж 19 из 19, секция 10. Тип проекта, по которому построен дом - монолит, компания-застройщик - ООО ""А101"". Стоимость квартиры - 9588626 Р. Срок сдачи - 2 квартал 2026. 

ПРЕДЛОЖЕНИЯ ОТ ЗАСТРОЙЩИКА В ЯНВАРЕ 2025:
Акция: скидка до 7% на квартиры только до конца января!
Скидка 5% для семей, ожидающих ребёнка! (Суммируется с другими скидками)
Купи и копи! Ипотека от 1 рубля в месяц - до ввода дома в эксплуатацию!
Не решаетесь брать ипотеку на квартиру, потому что арендуете жильё? Берите квартиру в ГК ""А101"" и снимайте на бонусы от покупки! Программа ""А101Бонус"".
Ипотека на машино-места в ЖК от ГК""А101""! Не арендуй место для машины, а плати за своё!

ЖК ""Бунинские кварталы"" строится на юго-западе Москвы. Монолитные дома в лаконичной стилистике гармонируют с живописной природой. Из любой точки района удобно добираться до природных объектов, ключевых транспортных узлов, крупных торговых, спортивных, деловых и медицинских центров.

Концепция уникального благоустройства района - ""Выходи гулять!"". Здесь появятся эстрада для районных творческих мероприятий, спортивные и игровые площадки, скейт-парк, дружелюбные пространства для домашних питомцев, благоустроенная набережная Ивановского пруда.

В районе формируется собственная развитая инфраструктура: современные школа на 1100 мест и 2 детских сада на 540 малышей, магазины у дома и сетевые супермаркеты, фитнес, кафе, салоны, детские развивающие центры. Крытый каток ""Самолёт Арена"" - в 10 минутах пешком.

За 15 минут можно дойти до действующей станции метро ""Потапово"". Предусмотрены удобные автомобильные выезды на проспект Куприна и улицу Александры Монаховой.

Особенности ""Бунинских кварталов"":
- ст. метро ""Потапово"" - 15 минут пешком
- своя школа и детские сады
- безопасные дворы без машин с системой контроля доступа
- насыщенная инфраструктура - в шаговой доступности и на первых этажах домов",,42.6,9.6,225.1
https://www.cian.ru/sale/flat/308549342/,https://images.cdn-cian.ru/images/2295607939-4.jpg,,"Москва, НАО (Новомосковский), м. Бунинская аллея, Щербинка, Южный кв-л, 4",Транспортом,11500000.0,182830.0,2.0,11.0,20.0,62.9,"Номер в базе: 783511. Продается 2-комнатная квартира в Щербинке (Московская пропискка)

КВАРТИРА
Квартира расположена на 11 этаже 20 этажного монолитного дома, общая площадь 62.9 кв.м, жилая площадь 34 кв.м., кухня 10 кв.м., есть лоджия, изолированные комнаты, раздельный санузел , просторный коридор, застекленная лоджия. Окна во двор. В квартире сделан косметический ремонт.

ДОМ
Благоустроенный двор с огороженной детской площадкой; чистый подъезд с наличием пандусов, два лифта: грузовой и пассажирский.

ИНФРАСТРУКТУРА
В шаговой доступности остановки общественного транспорта, сетевые магазины , аптеки, салоны красоты. Близ микрорайона есть детский сад и школа 2122 с дошкольным отделением. Парк Барышиха в 10-15 минутах пешей прогулки от дома, Музей-усадьба Остафьево в 15 минутах езды на машине.

ТРАНСПОРТНАЯ ДОСТУПНОСТЬ
До МЦД Остафьево 10-15 минут пешком, до МЦД Щербинка 19 минуты пешком, до м. Царицыно 20-25 минут на МЦД, до метро Бунинский Аллея можно доехать на личном и общественном транспортом за 10 минут. Удобный выезд на Симферопольское и Варшавское шоссе.

ДОКУМЕНТЫ
Свободная продажа, 1 взрослый собственник, документ основания: дкп более трех лет, полная стоимость в договоре.
Код пользователя: 113362",,62.9,11.5,182.8
https://www.cian.ru/sale/flat/308489079/,https://images.cdn-cian.ru/images/kvartira-moskva-yuzhnobutovskaya-ulica-2293889409-4.jpg,,"Москва, ЮЗАО, р-н Южное Бутово, м. Бунинская аллея, Южнобутовская улица, 72",Пешком,12950000.0,249038.0,2.0,7.0,10.0,52.0,"Продается светлая, уютная двухкомнатная квартира рядом с метро (5 минут пешком метро Бунинская Аллея). Квартира после ремонта, на кухни эркер, дорогая входная дверь, застекленная лоджия. Развитый район Москвы, рядом есть все необходимое для вашей комфортной жизни: банки, сетевые магазины, Ландшафтный парк Южное Бутово, детские сады и школы, фитнес, торговые центры. Один взрослый собственник. Свободная продажа. Документы готовы к сделке, подходит под ипотеку. Оперативный показ.",,52.0,12.9,249.0
https://www.cian.ru/sale/flat/310898426/,https://images.cdn-cian.ru/images/2342797906-4.jpg,ЖК «Скандинавия»,"Москва, НАО (Новомосковский), м. Бунинская аллея, Сосенское поселение, Скандинавия ЖК, 18.2.6",Транспортом,13022291.0,249948.0,2.0,18.0,18.0,52.1,"Продается двухкомнатная квартира  815 в новостройке Жилой район ""Скандинавия"" по адресу Москва, ТиНАО, Новомосковский АО, Сосенское С/П, Коммунарка пос., жилой комплекс Скандинавия, 18.2.6, район Коммунарка, Новомосковский административный округ, Москва. Общая площадь квартиры - 52.10 кв. м., этаж 18 из 18, секция 10. Тип проекта, по которому построен дом - монолит, компания-застройщик - ООО ""А101"". Стоимость квартиры - 13022291 Р. Срок сдачи - 4 квартал 2026. 

ПРЕДЛОЖЕНИЯ ОТ ЗАСТРОЙЩИКА В ЯНВАРЕ 2025:
Акция: скидка до 7% на квартиры только до конца января!
Скидка 5% для семей, ожидающих ребёнка! (Суммируется с другими скидками)
Купи и копи! Ипотека от 1 рубля в месяц - до ввода дома в эксплуатацию!
Не решаетесь брать ипотеку на квартиру, потому что арендуете жильё? Берите квартиру в ГК ""А101"" и снимайте на бонусы от покупки! Программа ""А101Бонус"".
Ипотека на машино-места в ЖК от ГК""А101""! Не арендуй место для машины, а плати за своё!

ЖК ""Скандинавия"" на границе Бутовского лесопарка (1610 га) - это баланс качественного жилья и сервисов, зелёных пространств для активного и созерцательного отдыха.
Выразительная архитектура и цветовая гамма монолитных корпусов комфорт- и бизнес-класса (8-17 этажей) созвучны скандинавским мотивам, органично интегрированы в великолепный природный контекст.
Огороженные дворы свободны от машин, в них продуманы места для отдыха и работы на свежем воздухе, озеленение, детские и спортивные площадки. Для прогулок, встреч и районных праздников - площадь Туве Янссон с ""сухим"" фонтаном, вековыми дубами и единственным в мире памятником писательнице; пешеходный променад 2 км; 3 крупных природных ручья; более 15 км велосипедных и прогулочных дорожек с арт-объектами.
Инфраструктура района включает современные школы и детские сады, центр впечатлений, фитнес-клубы, развивающие и творческие центры, магазины, кафе, салоны красоты.
На подземных этажах - паркинги и кладовые.

Преимущества ""Скандинавии"":
- ст. метро ""Потапово"" - 100 м от ближайших домов (открыта!)
- удобные выезды на трассу Солнцево - Бутово - Варшавское шоссе и ул. Бачуринская
- свои школы и детские сады
- инфраструктура на первых этажах и рядом с домом
- лесопарк, природные водоёмы, прогулочные маршруты",,52.1,13.0,249.9
