card_url,image_url,В ЖК,Адрес,От метро,"Цена, ₽","Цена за м², ₽",description,Комнат,Этаж,Этажность,Площадь,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://www.cian.ru/sale/flat/310832812/,https://images.cdn-cian.ru/images/2341187260-4.jpg,ЖК «Lucky»,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, 2-я Звенигородская улица, 14",Пешком,529260641.0,1761853.0,"Продаётся двухуровневая 4 - комнатная квартира (Корпус 8), общей площадью 306,7 кв.м., на 19 и 20 этаже с собственной террасой площадью - 21 кв. м. Квартира сдается с премиальной отделкой, включающей оборудованную кухню и ванные комнаты. 
В квартале представлена инфраструктура для всей семьи: парки и скверы, билингвальный детский сад La Berezka, собственный 600 м. игровой парк для детей, фитнес с подогреваемым бассейном на крыше, рестораны, кафе и магазины органических продуктов. В шаговой доступности от квартала расположены лучшие рейтинговые школы. 
Жилой квартал Lucky - это переосмысление и регенерация общественно-делового кластера площадью более 4.5 гектаров в центре Москвы. Визуально квартал разделен на две части: верхний город с новыми высотными жилыми домами и нижний город с общественным пространством для инфраструктуры, где будет располагаться новый социокультурный кластер площадью около 10 000 кв. м. 
Верхний город будет состоять из восьми жилых домов: семь 21-этажных башен и одно здание высотой 15 этажей. В восьми новых домах расположены 618 квартир. На каждом этаже 3-4 квартиры, большая часть которых имеет ориентацию на 2-3 стороны света. Из панорамных окон открываются виды на набережную Москва-реки, Сити и близлежащие парки. 
Квартал расположен на пересечении улиц 2-ая Звенигородская и Костикова, в 200 метрах от метро ""Улица 1905 года"". В непосредственной близости от парков, Москвы- реки, Сити и Садового кольца формируется идеальная среда для семейного проживания в мегаполисе. Знаковая архитектура, продуманные планировочные решения, изысканная отделка, инновационные инженерные решения воплощены в квартале Lucky. 
Интерьерная концепция проекта создана в партнёрстве с международной компанией Molteni Group. Для автомобилистов предусмотрены два подземных трехуровневых паркинга на 961 машиноместо. В новом проекте компания Vesper применяет свой опыт реализации недвижимости класса de luxe. Знаковая архитектура, продуманные планировочные решения, высококачественная отделка, инновационные инженерные решения являются неотъемлемыми характеристиками каждого проекта Vesper и будут воплощены в квартале Lucky. Продам 5-комнатную квартиру рядом с метро Краснопресненская.",,,,,,nan,529.3,1761.9
https://www.cian.ru/sale/flat/304588154/,https://images.cdn-cian.ru/images/kvartira-moskva-granatnyy-pereulok-2217229001-4.jpg,ЖК «Гранатный Палас»,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Гранатный переулок, 8С4",Пешком,1289000000.0,2832967.0,"УНИКАЛЬНОЕ ПРЕДЛОЖЕНИЕ - СУПЕР ЦЕНА!!!

Свободная планировка без отделки - продается квартира от собственника!

фото и показ ИСКЛЮЧИТЕЛЬНО по запросу!

ЭЛИТ- КЛАСС!

Гранатный Палас — это уникальный клубный дом на 17 квартир, расположенный в районе Патриарших Прудов (Гранатный переулок, дом 8).

Подземные этажи дома включают не только паркинг, но и роскошный бассейн, фитнес клуб, созданные специально для жильцов.

На первом этаже находятся мужской сигарный клуб с бильярдной, салон красоты, библиотека и детская игровая комната. Купить 5-комнатную квартиру рядом с метро Краснопресненская.",5.0,4.0,8.0,455.0,,455.0,1289.0,2833.0
https://www.cian.ru/sale/flat/307250022/,https://images.cdn-cian.ru/images/kvartira-moskva-skatertnyy-pereulok-2266416063-4.jpg,,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Скатертный переулок, 22",Пешком,95000000.0,691916.0,"Продается квартира в одном из исторических домов в самом центре Москвы, между Новым Арбатом и Патриаршими прудами. Квартира имеет 5 изолированных комнат, 2 санузла, высота потолков почти 4 метра. Планировка полностью соответствует проекту дома, несущих стен нет, что позволит новому владельцу реализовать проект и идеи по своему вкусу. В настоящий момент квартира находится в своем первозданном состоянии, сохранилась лепнина на потолках, высокие межкомнатные двери и т.д. Балкон не застеклен, выходит во двор. 
Дом дореволюционной постройки, прошел комплексный ремонт в 2017-2018 годах, с заменой всех коммуникаций, кровли, ремонтом фасада, подвала. 
Есть пассажирский лифт, в подъезде дежурит консьерж, двор огорожен. 
Соседние дома занимают преимущественно посольства и офисные особняки. 
Квартира в собственности одной семьи более 10 лет, свободная продажа. Условия обсуждаются. 5-комнатная квартира рядом с метро Краснопресненская.",5.0,3.0,6.0,137.3,,137.3,95.0,691.9
https://www.cian.ru/sale/flat/306155409/,https://images.cdn-cian.ru/images/2255562428-4.jpg,ЖК «Квартал LIFE TIME»,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, 2-я Черногрязская улица",Транспортом,220350000.0,1072263.0,"LIFE TIME - роскошный современный квартал в самом быстрорастущем премиальном районе ЦАО - Пресне. Его архитектурная концепция опережает время, а беспрецедентно исчерпывающая инфраструктура и расположение дарят бесценное время своим жителям. Вы больше не тратите его на дорогу или ожидание, при этом ни в чем себе не отказывая.

На территории предусмотрено все для привилегированной и самодостаточной жизни:

-  просторный, красивый, разнообразный двор-парк; 

-  спортивная инфраструктура на улице и в помещении, в том числе бассейн и спа; 

-  все для развития и досуга детей всех возрастов, в том числе детский сад и школа;

-  вы внутри сложившегося премиального района со всем необходимым, в окружении многочисленных парков, с быстрой транспортной доступностью до бульварного кольца и Москва-Сити, прямым выездом на Новую Ригу

Новая роскошь - это сочетание идеального расположения, просторной закрытой территории и респектабельной приватности: квартал занимает 3 га, но на этаже будет не больше 2-3 квартир. Представлены уникальные виллы с патио и террасами на кровле; двухэтажные квартиры, пентхаусы с 7-метровыми потолками, каминами и террасами. Продается 5-комнатная квартира рядом с метро Краснопресненская.",5.0,8.0,10.0,205.5,,205.5,220.3,1072.3
https://www.cian.ru/sale/flat/311323865/,https://images.cdn-cian.ru/images/2352010152-4.jpg,ЖК «Дизайнерский дом Eleven»,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Звенигородское шоссе, 11",Транспортом,330000000.0,1064516.0,"ID: 555733
Стильный пентхаус с террасой в новом дизайнерском доме премиум-класса ELEVEN (башня Альфа) на Пресне.

В квартире выполнена дизайнерская отделка с применением натуральных материалов. Планировочным решением предусмотрены: просторная гостиная-столовая с выходом на террасу, кухня, мастер-блок, состоящий из спальни, кабинета с двумя балконами, гардеробной и ванной комнаты, 3 спальни, 3 санузла, постирончая.

Из панорамных окон квартиры открываются великолепные виды в сторону Москва-Сити и Дома Правительства.

Клубный жилой комплекс ELEVEN состоит из 2 башен, соединенных стеклянной галереей. Дизайнерские входные группы, скоростные малошумные лифты, консьерж-сервис, 2-уровневый подземный паркинг, кладовые помещения. Концепция ""двор без машин"", закрытая придомовая территория с детской площадкой и ландшафтным озеленением. На территории комплекса расположены: фуд-маркет и ресторан, фитнес-клуб с 25-метровым бассейном, детские комнаты.

Дом расположен ряlом с Москва-Сити, Домом Правительства РФ и парком Красногвардейские пруды. Великолепная транспортная доступность: удобный выезд на ТТК, прямой выезд на Новорижское шоссе, 8 минут на машине до Садового кольца, до станции метро Улица 1905 года 10 минут пешком.

Участник ассоциации AREA.

Номер объекта: #1/555733/14501 5-комнатной квартиры Рядом с метро Краснопресненская.",,,,,,nan,330.0,1064.5
https://www.cian.ru/sale/flat/312138022/,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-kostikova-2369727388-4.jpg,ЖК «Lucky»,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, улица Костикова, 4к3",Пешком,294350000.0,1450000.0,"В ультрасовременном жилом комплексе класса люкс LUCKY на Красной Пресне к продаже предлагается ВИДОВАЯ квартира, общей площадью 190.6 м2 + терраса 44 м2. 

Квартира с ПРЕМИАЛЬНОЙ отделкой Grey, включающей оборудованную кухню и ванную комнату.

ФУНКЦИОНАЛЬНАЯ ПЛАНИРОВКА:
- просторная кухня-гостиная
- 4 спальни
- 3 гардеробные
- 4 санузла
- терраса 40 м2
- 2 балкона

Светлые стены и полы из натурального дерева позволяют персонализировать пространство в соответствии со своими вкусовыми предпочтениями.
КУХНЯ со встраиваемой бытовой техникой премиального бренда Neff: индукционная варочная панель, микроволновая печь, посудомоечная машина, духовой шкаф, вытяжка встраиваемая, встраиваемый холодильник-морозильник.
Сантехника в ВАННОЙ комнате Villeroy & Boch, Kaldewei, Gessi.
Интеллектуальная система УМНЫЙ ДОМ программируется по заданному
параметрами и позволяет дистанционно управлять светом, отоплением, шторами.
Окна REYNAERS, алюминиевый профиль.
Приточно-вытяжные установки  VTS, мультизонная система кондиционирования VRF  LG.
Лифты  ThyssenKrupp с отделкой кабины по индивидуальному дизайну.

УСЛОВИЯ СДЕЛКИ:
Прямая продажа
Быстрый выход на сделку 

О КОМПЛЕКСЕ
LUCKY - социокультурный кластер в центре Москвы площадью более 4,5 гектаров. Современные жилые дома, исторические здания, парковые зоны и спортивный центр площадью 5 000 м² отражают новый подход к формированию жилого квартала МИРОВОЙ столицы.

Инфраструктура Lucky создана для современных жителей, которые постоянно развиваются. Целый квартал трансформируется в городское пространство для качественной жизни: образовательный центр Mind Gym, художественные мастерские, фермерские лавки, собственный детский сад с преподаванием на трёх языках, спортивный центр площадью 5 000 м² и всесезонный подогреваемый бассейн.

Квартал находится в окружении четырех парковых зон: Красная Пресня, Красногвардейские пруды, парк Декабрьского восстания и Пресненский детский парк.",5.0,15.0,21.0,203.0,,203.0,294.4,1450.0
https://www.cian.ru/sale/flat/307004330/,https://images.cdn-cian.ru/images/2352635232-4.jpg,ЖК «SkyView»,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, улица Красная Пресня, 3",Пешком,226444680.0,1048355.0,"Продаются 5-комнатные апартаменты площадью 216 на 14-м этаже 20-этажного дома. ДОМА СДАНЫ.  

Комплекс апартаментов SkyView расположился в самом сердце Пресни — района с богатым историческим и культурным наследием.
Четыре элегантные башни гармонично вырастают из исторической застройки вверх и в будущее. Здесь созданы идеальные условия для жизни — роскошной и комфортной, насыщенной и безмятежной, включенной в столичный ритм и избавленной от суеты. В вашем распоряжении ежедневно будут доступны премиальный фитнес клуб с бассейном 25м, рестораны.
Тщательно продуманные планировки дают возможность сформировать персональное жизненное пространство, отвечающее вашему характеру и образу жизни. План вашей жилой территории гибко следует за вашими планами на жизнь. Эта территория не ограничивается стенами ваших апартаментов. Архитектура комплекса SkyView радует глаз не только снаружи, но и изнутри. Закругленная геометрия башен обеспечивает все апартаменты завораживающими видами на Москву, которая становится частью вашей домашней обстановки. Уникальный силуэт, разнообразие восприятия с разных видовых точек, максимальные видовые характеристики и одновременно приватность для жильцов комплекса.",5.0,14.0,20.0,216.0,,216.0,226.4,1048.4
https://www.cian.ru/sale/flat/311345888/,https://images.cdn-cian.ru/images/2352489904-4.jpg,"ЖК «Большой Тишинский переулок, 10с1»","Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Большой Тишинский переулок, 10С1",Пешком,139900000.0,618206.0,"ID: 572002
Просторная 5-комнатная квартира площадью 226.3 кв.м. с видами на Дом правительства, МГУ и гостиницу Украина.

Квартира без отделки. Возможный вариант организации пространства: просторная гостиная с зонами столовой и кухни, 4 спальни, 3 санузла, 2 гардеробные, постирочная и кладовая.

Панорамные окна квартир ориентированы на 4 стороны света с великолепными видами.

В доме установлены системы приточно-вытяжной вентиляции, центрального кондиционирования и ""Умный дом"".

Дом построен в 2008 году по заказу Управления Делами Президента РФ. Огороженная и охраняемая территория, въезд через пропускной пункт, видеонаблюдение. Предусмотрен подземный паркинг, в наличии 2 больших машино-места. Комфортные лобби с зонами отдыха. В подъездах консьержи.

Участник ассоциации AREA.


Номер объекта: #1/572002/14501",5.0,15.0,21.0,226.3,,226.3,139.9,618.2
https://www.cian.ru/sale/flat/309435557/,https://images.cdn-cian.ru/images/2372035430-4.jpg,,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Столярный переулок, 2",Пешком,136000000.0,607143.0,"Лот 56475. Оксана Мартынова.

Эксклюзив подписан. Предлагаем пятикомнатную квартиру с террасой. 

О квартире: Занимает целый этаж. Выполнена качественная отделка в классическом стиле с использованием натурального дерева и мрамора. Функциональная планировка включает: кухню с гарнитуром Мария со всей необходимой встроенной техникой Bosch и выходом на террасу, гостиную, мастер-спальню, две детские спальни, кабинет, три совмещенных санузла один из которых с окном, джакузи и сауной, гостевой санузел,  хозяйственную комнату, террасу с  с панорамными видами на Москва-Сити, здание Правительства РФ, высотку на Баррикадной, Римско-католический Кафедральный Собор и историческое здание биологического музея имени К. А. Тимирязева, балкон.

О локации: Развитая инфраструктура Пресни. Удобный выезд на Садовое кольцо, Звенигородское шоссе и ТТК. В пешей доступности станция метро улица 1905 года.

О парковке: Наземный паркинг под шлагбаумом с наличием мест. 

О документах: Один собственник. Готова к сделке.

Бонус партнерам 50%.

Есть презентации в pdf на русском или английском для партнеров. Член ассоциации агентств элитной недвижимости AREA.",,,,,,nan,136.0,607.1
https://www.cian.ru/sale/flat/307188134/,https://images.cdn-cian.ru/images/2264895273-4.jpg,ЖК «Квартал LIFE TIME»,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Лайф Тайм ЖК",Транспортом,245920000.0,1086219.0,"LIFE TIME - роскошный современный квартал в самом быстрорастущем премиальном районе ЦАО - Пресне. Его архитектурная концепция опережает время, а беспрецедентно исчерпывающая инфраструктура и расположение дарят бесценное время своим жителям. Вы больше не тратите его на дорогу или ожидание, при этом ни в чем себе не отказывая.

На территории предусмотрено все для привилегированной и самодостаточной жизни:

-  просторный, красивый, разнообразный двор-парк; 

-  спортивная инфраструктура на улице и в помещении, в том числе бассейн и спа; 

-  все для развития и досуга детей всех возрастов, в том числе детский сад и школа;

-  вы внутри сложившегося премиального района со всем необходимым, в окружении многочисленных парков, с быстрой транспортной доступностью до бульварного кольца и Москва-Сити, прямым выездом на Новую Ригу

Новая роскошь - это сочетание идеального расположения, просторной закрытой территории и респектабельной приватности: квартал занимает 3 га, но на этаже будет не больше 2-3 квартир. Представлены уникальные виллы с патио и террасами на кровле; двухэтажные квартиры, пентхаусы с 7-метровыми потолками, каминами и террасами.",5.0,13.0,22.0,226.4,,226.4,245.9,1086.2
