card_url,image_url,В ЖК,Адрес,От метро,"Цена, ₽","Цена за м², ₽",Комнат,Этаж,Этажность,Площадь,description,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://www.cian.ru/sale/flat/305334125/,https://images.cdn-cian.ru/images/2333350342-4.jpg,,"Москва, САО, р-н Левобережный, м. Планерная, Ленинградское шоссе",Транспортом,74383860.0,551400.0,4.0,15.0,19.0,134.9,"Эргономичная светлая четырёхкомнатная квартира c 4-мя спальнями. 
Квартира расположена на 15 этаже, в корпусе 7.2 проекта ""Северный Порт"". 
  
Общая площадь: 134.90 кв.м. Жилая: 53.70 кв.м. Высота потолков 3.28 м. 
  
В проекте ""Северный Порт"" реализуются авторские решения девелопера LEGENDA, которые представлены уникальными фасадными решениями, коллекцией дизайнерских квартир, а также инновационным оснащением  комплектацией TechnoBox  полностью технологически подготовленным пространством для современных сценариев жизни. 
  
В 1-ой очереди строительства проекта ""Северный Порт"" авторская комплектация TechnoBox представлена в корпусах 7.1 и 7.3 и включает в себя два направления: 
  
Технологически подготовленное пространство 
- Smart Home Ready. Стационарное и удаленное управление квартирой. 
- Air Design. Всегда свежий воздух, никакого шума и пыли. 
- Мультизональное кондиционирование. Готовая инфраструктура за пределами квартиры. 
- Мультисервисная сеть. Единая сеть коммуникационных систем. 
  
Готовность к декорированию 
- Шумоизоляция. Комплексные меры для защиты от лишнего шума. 
- Подготовка стен. Все стены подготовлены к отделке дизайнерскими материалами. 
- Выровненный пол. Полы выровнены стяжкой из цементно-песчаной смеси, повышающей механическую прочность, и готовы к укладке покрытия. 
- Электрические сети. Коммуникации расположены в оптимальном месте и с учетом рекомендаций по расстановке мебели и техники. 
  
""Северный порт"" от LEGENDA входит в крупномасштабный проект комплексного развития территории Северного речного порта, реализуемый правительством Москвы, и представляет собой микс жилой, коммерческой, социальной и общественной функций. 
  
Автором концепции переосмысления территории выступило архитектурное бюро Сергея Скуратова. Созданный дизайн-код лёг в основу проекта, разработанного LEGENDA совместно с архитектурным бюро KAMEN Architects. 
  
Город ставит новый акцент, создавая мощный центр притяжения в экологичной локации у Северного речного вокзала. Близость к воде, парковым зонам и футуристичный архитектурный образ определяют потенциал развития проекта на несколько десятилетий вперед. 
  
Важной частью проекта станет строительство самой протяжённой благоустроенной набережной, которая соединится с парком Северного речного вокзала и создаст уникальное прогулочное пространство длиной 3,2 км, вдоль которого будет организован современный торговый променад. 
  
В основе концепции благоустройства — авторская модель проектирования дворов от LEGENDA на базе компонентов, объединенных в 4 группы: мультисценарность, геймификация, органомика и безопасность. Благодаря такой модели удаётся обеспечить многообразие вариантов взаимодействия с внутренней средой для всех членов семьи, разных возрастов. 
  
Проект реализуется в три очереди. Первая включает возведение трех корпусов переменной этажности (34, 19 и 58 этажей) совокупно на 1172 квартиры, а также двухуровневый подземный паркинг на более чем 500 машиномест и коммерческие помещения по пер Продается 4-комнатная квартира рядом с метро Планерная.",,134.9,74.4,551.4
https://www.cian.ru/sale/flat/312156097/,https://images.cdn-cian.ru/images/kvartira-moskva-sokolovomeshcerskaya-ulica-2370350585-4.jpg,,"Москва, СЗАО, р-н Куркино, м. Планерная, Соколово-Мещерская улица, 14",Транспортом,44500000.0,396967.0,4.0,5.0,12.0,112.1,"Продается 4-х комнатная квартира с панорамным видом на парк, дорогим ремонтом и 2-мя машиноместами в подземном паркинге. 

1 собственник с момента постройки. 

Планировка: мастер-спальня со своим санузлом, ванной и гардеробной, просторная кухня объеденненая с гостиной и балконом, 2 отдельные комнаты и дополнительный санузел. Всего 3 изолированные комнаты(15.7м, 17м, 11м) 2 санузла, 2 гардеробные и кухня, совмещенная с прихожей, лоджией и гостиной, что создает большое пространство для комфортной жизни.

Встроенная техника Kuppersbusch, Miele, итальянская плитка Versace оригинал, мебель Smania и тп. 

Все делал для себя, денег не жалел, в живую выглядит гармонично и не так ярко, как на фото.

Подогрев пола везде, кондиционеры во всех помещениях, самые современные телевизоры Samsung smart tv, все сделано по уму во всей квартире. Так же сразу были самостоятельно установлены качественные окна. 

Сделан ремонт на этаже в лифтовом холле.

Жили редко и аккуратно, т.к часто заграницей и есть такая же квартира под этой на 4 этаже, где также никто не проживает. 

В стоимость входят 2 машиноместа (и 2 дополнительно можно использовать по договоренности) в подземном паркинге с видеонаблюдением. 

Все перепланировки узаконены, зарегистрированных граждан в квартире не имеется. 

Одна из лучших квартир в данной локации с лучшим видом. Тихие, приветливые соседи. 

Цена обсуждается с реальным покупателем. 

Продаю сам, без посредников. Агентов просьба не беспокоить. 

Осмотр в удобное время по договоренности. Прошу звонить только реально готовых к покупке. Купить 4-комнатную квартиру рядом с метро Планерная.",,112.1,44.5,397.0
https://www.cian.ru/sale/flat/312128859/,https://images.cdn-cian.ru/images/kvartira-moskva-bulvar-yana-raynisa-2369390733-4.jpg,,"Москва, СЗАО, р-н Южное Тушино, м. Планерная, бульвар Яна Райниса, 37",Транспортом,27900000.0,279000.0,4.0,9.0,22.0,100.0,"Уютная квартира с хорошим ремонтом, серия КОПЭ, все комнаты изолированные, большая кухня, окна на разные стороны дома, 3 взрослых собственника, более 5 лет, без обременений,  полная стоимость в ДКП, рядом парковая зона, пруд, легкая альтернатива на одну площадь, ипотека возможна, показ по договоренности. Продам 4-комнатную квартиру рядом с метро Планерная.",,100.0,27.9,279.0
https://krasnogorsk.cian.ru/sale/flat/309991023/,https://images.cdn-cian.ru/images/2325019915-4.jpg,,"Московская область, м. Планерная, Красногорск городской округ, Путилково пгт, Большое Путилково ЖК",Транспортом,16160498.0,234041.0,4.0,2.0,25.0,69.05,"Продаётся 4-комнатная квартира в строящемся доме (Корпус 28), срок сдачи: II-кв. 2026, общей площадью 69.05 кв.м., на 2 этаже. Ваш дом  это больше, чем просто квартира. Мы построим в Путилково современный масштабный квартал с просторными дворами без машин. Откроем детские сады, школу, поликлинику. Организуем единую сеть пешеходных маршрутов, беговых и велодорожек. Дальше - больше! Благоустроим 3,6 км набережной и построим четырёхполосную дорогу.

Мы позаботились о вашем комфорте: продуманные планировки, застройка переменной этажности и долговечные монолитно-кирпичные дома, фасады в классическом стиле и просторные дворы - всё, чтобы вы чувствовали себя дома. В наличии широкий выбор квартир как с готовой отделкой, так и без отделки.

Живописное окружение квартала создают сосновые Алешкинский и Новогорский лесопарки, реки Сходня, Братовка, Муравка, Журавка, Машкинский ручей и Рождественский пруд. Можно отправиться семьей на прогулку или порыбачить в компании друзей. В парке Барыши будет благоустроена и озеленена территория, создана береговая зона возле пруда, построены игровые площадки, беговые дорожки и зоны для барбекю. 
Жилой комплекс характеризуется отличной транспортной доступностью: рядом расположены 6 станций метро: Тушинская, Сходненская, Планерная, Волоколамская, Митино, Пятницкое шоссе, всего в 500 м - МКАД.
Оригинальный проект с элементами террасной планировки и естественным перепадом высот, гармонично вписанный в природный ландшафт. Благоустроенные дворы с зонами отдыха и детскими площадками для всех возрастов.

Просторный двор и городская площадь создадут точки притяжения: отправьтесь на прогулку с семьёй или на встречу с друзьями.
От дома до детского сада или школы всего 5 минут пешком. А свободное время можно провести с ребёнком на игровых площадках во дворе. 4-комнатная квартира рядом с метро Планерная.",,69.0,16.2,234.0
https://www.cian.ru/sale/flat/309925453/,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-geroev-panfilovcev-2323757279-4.jpg,,"Москва, СЗАО, р-н Северное Тушино, м. Планерная, улица Героев Панфиловцев, 1К2",Пешком,31000000.0,336226.0,4.0,2.0,17.0,92.2,"В престижном СЗАО продается четырехкомнатная квартира 92.20 кв.м. Дом 2007 г. постройки, в 3 минутах пешком от метро Сходненская. Дом во дворе, въезд с двух сторон закрыт шлагбаумами, нет проблем с парковкой. Квартира расположена на втором этаже, первый этаж не жилой. Законный перенос коммуникаций, поэтому квартира может стать инвестиционным проектом. Общая площадь квартиры с двумя лоджиями 94.40 кв.м. Комнаты 17.70 + 14 + 14 + 17.70 изолированные, кухня 10.20. Приватизирована в 2017 году, один собственник, свободная продажа. Рядом с домом красивые современные бульвары, ТЦ Калейдоскоп с катком и 8-ми зальным кинотеатром. В 15 минутах пешком красивый парк ""Северное Тушино"" с велодорожками, пляжем, зонами отдыха, аттракционами. Взрослая и детская поликлиники в 3-х минутах пешком. Лицей 1571 входит в список 50 лучших школ Москвы. Квартира на стадии подготовки к ремонту, поэтому фотографии будут дополняться. ПОГАШЕНИЕ ИПОТЕКИ СОБСТВЕННИКОМ ДО СДЕЛКИ. Большая просьба к риэлторам - звонить только при наличии покупателей! Продажа.",,92.2,31.0,336.2
https://www.cian.ru/sale/flat/312080659/,https://images.cdn-cian.ru/images/2368314126-4.jpg,,"Москва, СЗАО, р-н Куркино, м. Планерная, Родионовская улица, 18",Транспортом,34900000.0,321363.0,4.0,3.0,6.0,108.6,"Арт. 90726166 Продается большая 4-х комнатная квартира (евро5), идеальный вариант для семьи с детьми. 
Квартира общей площадью 123,8 кв.м (по документам 108,6)имеет планировку:
- кухня- гостиная 27 кв.м с электрическим камином;
- мастер спальня 17,9 кв.м и свой санузел с душевой кабиной 4,7 кв.м.
- 3 раздельные детские комнаты: 14,6 кв.м, 14,4 кв.м и 13.6 кв.м.
- просторный санузел с ванной, унитазом, детской и взрослой раковинами.
- санузел с раковиной и оборудованием для водоподготовки.
- 2 кладовые комнаты с полками.
-просторная прихожая со шкафами.
Итого: кухня-гостиная, 4 комнаты, 3 санузла, 2 кладовые.
Высота потолков 3 метра. В каждой комнате кондиционер. В каждом санузле бойлер. Лифт есть!
Развитая инфраструктура: школы, детские сады, детская школа искусств. Рядом автобусная остановка.",,108.6,34.9,321.4
https://krasnogorsk.cian.ru/sale/flat/309991015/,https://images.cdn-cian.ru/images/2325015720-4.jpg,,"Московская область, м. Планерная, Красногорск городской округ, Путилково пгт, Большое Путилково ЖК",Транспортом,24541654.0,307232.0,4.0,12.0,25.0,79.88,"Продаётся 4-комнатная квартира в строящемся доме (Корпус 28), срок сдачи: II-кв. 2026, общей площадью 79.88 кв.м., на 12 этаже. Ваш дом  это больше, чем просто квартира. Мы построим в Путилково современный масштабный квартал с просторными дворами без машин. Откроем детские сады, школу, поликлинику. Организуем единую сеть пешеходных маршрутов, беговых и велодорожек. Дальше - больше! Благоустроим 3,6 км набережной и построим четырёхполосную дорогу.

Мы позаботились о вашем комфорте: продуманные планировки, застройка переменной этажности и долговечные монолитно-кирпичные дома, фасады в классическом стиле и просторные дворы - всё, чтобы вы чувствовали себя дома. В наличии широкий выбор квартир как с готовой отделкой, так и без отделки.

Живописное окружение квартала создают сосновые Алешкинский и Новогорский лесопарки, реки Сходня, Братовка, Муравка, Журавка, Машкинский ручей и Рождественский пруд. Можно отправиться семьей на прогулку или порыбачить в компании друзей. В парке Барыши будет благоустроена и озеленена территория, создана береговая зона возле пруда, построены игровые площадки, беговые дорожки и зоны для барбекю. 
Жилой комплекс характеризуется отличной транспортной доступностью: рядом расположены 6 станций метро: Тушинская, Сходненская, Планерная, Волоколамская, Митино, Пятницкое шоссе, всего в 500 м - МКАД.
Оригинальный проект с элементами террасной планировки и естественным перепадом высот, гармонично вписанный в природный ландшафт. Благоустроенные дворы с зонами отдыха и детскими площадками для всех возрастов.

Просторный двор и городская площадь создадут точки притяжения: отправьтесь на прогулку с семьёй или на встречу с друзьями.
От дома до детского сада или школы всего 5 минут пешком. А свободное время можно провести с ребёнком на игровых площадках во дворе.",,79.9,24.5,307.2
https://www.cian.ru/sale/flat/307046191/,https://images.cdn-cian.ru/images/2366863298-4.jpg,,"Москва, СЗАО, р-н Северное Тушино, м. Планерная, улица Свободы, 97С1",Пешком,14500000.0,228707.0,4.0,5.0,9.0,63.4,"Лот  72358 Продаётся светлая смежно-изолированная четырехкомнатная квартира , из которых  2 комнаты изолированные, две других смежные.                                    В шаговой доступности вся необходимая инфраструктура: сетевые магазины,  детский сад, школа, поликлиника, благоустроенные детские площадки. В квартире требуется ремонт. Свободная продажа, полная стоимость в ДКП, три взрослых собственника, в квартире никто не зарегистрирован, обременений нет.",,63.4,14.5,228.7
https://www.cian.ru/sale/flat/310925447/,https://images.cdn-cian.ru/images/kvartira-moskva-planernaya-ulica-2343372257-4.jpg,,"Москва, СЗАО, р-н Северное Тушино, м. Планерная, Планерная улица, 26С1",Пешком,17000000.0,267296.0,4.0,2.0,9.0,63.6,"Продаётся четырёхкомнатная квартира. Две комнаты смежные, две раздельные. Санузел раздельный.

В шаговой доступности  сетевые магазины, детский сад, школа, поликлиника, благоустроенные детские площадки, парк ""Северное Тушино"".
До метро Планерная 8 минут пешком.

В квартире сделан ремонт. Новый кухонный гарнитур остаётся. По желанию покупателя можем оставить мебель. Дом после капремонта.

Полная стоимость в ДКП. Два взрослых собственника. В собственности больше пяти лет. В квартире никто не зарегистрирован, обременений нет. Свободная продажа.

 Размещать объявление не разрешаю. Агентам без клиентов не звонить.",,63.6,17.0,267.3
https://krasnogorsk.cian.ru/sale/flat/309991013/,https://images.cdn-cian.ru/images/2325015141-4.jpg,,"Московская область, м. Планерная, Красногорск городской округ, Путилково пгт, Большое Путилково ЖК",Транспортом,16905216.0,243241.0,4.0,11.0,25.0,69.5,"Продаётся 4-комнатная квартира в строящемся доме (Корпус 28), срок сдачи: II-кв. 2026, общей площадью 69.5 кв.м., на 11 этаже. Ваш дом  это больше, чем просто квартира. Мы построим в Путилково современный масштабный квартал с просторными дворами без машин. Откроем детские сады, школу, поликлинику. Организуем единую сеть пешеходных маршрутов, беговых и велодорожек. Дальше - больше! Благоустроим 3,6 км набережной и построим четырёхполосную дорогу.

Мы позаботились о вашем комфорте: продуманные планировки, застройка переменной этажности и долговечные монолитно-кирпичные дома, фасады в классическом стиле и просторные дворы - всё, чтобы вы чувствовали себя дома. В наличии широкий выбор квартир как с готовой отделкой, так и без отделки.

Живописное окружение квартала создают сосновые Алешкинский и Новогорский лесопарки, реки Сходня, Братовка, Муравка, Журавка, Машкинский ручей и Рождественский пруд. Можно отправиться семьей на прогулку или порыбачить в компании друзей. В парке Барыши будет благоустроена и озеленена территория, создана береговая зона возле пруда, построены игровые площадки, беговые дорожки и зоны для барбекю. 
Жилой комплекс характеризуется отличной транспортной доступностью: рядом расположены 6 станций метро: Тушинская, Сходненская, Планерная, Волоколамская, Митино, Пятницкое шоссе, всего в 500 м - МКАД.
Оригинальный проект с элементами террасной планировки и естественным перепадом высот, гармонично вписанный в природный ландшафт. Благоустроенные дворы с зонами отдыха и детскими площадками для всех возрастов.

Просторный двор и городская площадь создадут точки притяжения: отправьтесь на прогулку с семьёй или на встречу с друзьями.
От дома до детского сада или школы всего 5 минут пешком. А свободное время можно провести с ребёнком на игровых площадках во дворе.",,69.5,16.9,243.2
