card_url,image_url,В ЖК,Адрес,От метро,"Цена, ₽","Цена за м², ₽",Комнат,Этаж,Этажность,Площадь,description,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://www.cian.ru/sale/flat/297239206/,https://images.cdn-cian.ru/images/2253604982-4.jpg,"ЖК «Новые Ватутинки, мкр. Заречный»","Москва, НАО (Новомосковский), м. Пыхтино, Новые Ватутинки жилрайон, Заречный мкр, 5/3",Транспортом,14819920.0,231200.0,2.0,11.0,12.0,64.1,"Продается 2-комн. квартира с отделкой в ЖК ""Новые Ватутинки. Заречный"" на 11 этаже. Общая площадь: 64.1 кв.м., жилая: 33.90 кв.м., площадь кухни-столовой: 14.4 кв.м. Высота потолков 2.82 м.

 Район находится в 14 километрах от МКАД по Калужскому шоссе в центре Новой Москвы. Доехать до района можно от станций метро Ольховая, Теплый Стан, и Бульвар Адмирала Ушакова на городских автобусах и маршрутных такси. Дорога от м. Теплый Стан и Ольховая занимает в среднем не более 20 минут даже в часы пик. В 2025 году начнется строительство собственной станции метро ""Десна"" в пешей доступности. Удобное расположение района и развитая социальная инфраструктура делают Новые Ватутинки образовательным и культурным центром Новой Москвы. 

Застройка нового микрорайона началась с трех корпусов с подземным паркингом, индивидуальными кладовыми и коммерческой галерей на первом этаже. Заречный имеет два удобных индивидуальных въезда на Калужское шоссе. Благодаря такому транспортному решению на въезде и выезде из района не будут образовываться пробки, а в перспективе жители, предпочитающие общественный транспорт, смогут пользоваться станцией метро Десна (Троицкой ветки). Так же здесь будут построены два общеобразовательных комплекса с детскими садами и школами, поликлиника и торговый центр. Через всю застройку микрорайона от проектируемой станции метро Десна до набережной реки и уже открытого парка ""Андерсен"" пройдет бульвар протяженностью 1,5 км с мини плазами, садами и скверами. Архитектурная концепция проекта предусматривает комфортную застройку с понижением этажности к бульвару, что создаст комфортную для человека среду. Концепция соблюдения баланса между городом и природой дополняется дворами без машин и без барьерной среды внутри всей застройки. Во дворах акцент делается на тихий отдых и игры для детей, а основная активность будет сосредоточена на масштабных плейхабах в зонах общественных пространств. Так, например, в парке ""Андерсен"" помимо пешеходных и велосипедных маршрутов, предусмотрены площадки для активных видов спорта, индивидуальных outdoor-тренировок, зоны для рыбалки, сапбординга и тюбинга. 

Предусмотрена обширная типология квартир с превосходными характеристиками просторные планировки, большие лоджии, две ванные комнаты. Свободная планировка квартир позволит с легкостью организовать место для отдыха, рабочее пространство и комфортную гостевую зону. На -1 этаже предусмотрены кладовые помещения для хранения сезонных и крупногабаритных вещей и паркинг с индивидуальными и семейными машино-местами. Для удобства автовладельцев в зону подземного паркинга можно попасть, спустившись на лифте со своего этажа. В проекте предусмотрена система видеодомофонии. В режиме онлайн жители будут получать оповещения о приходе гостя с возможностью открыть ему дверь в подъезд. Можно сохранять фотографии с камеры вызывной панели, чтобы посмотреть кто приходил, пока вас не было дома. Есть возможность подключения в приложении к видеокамерам в лифтах.",,64.1,14.8,231.2
https://www.cian.ru/sale/flat/310936541/,https://images.cdn-cian.ru/images/2369374156-4.jpg,ЖК «Бристоль»,"Москва, НАО (Новомосковский), м. Пыхтино, улица Шекспира, 2А",Транспортом,15105612.0,281296.0,2.0,3.0,4.0,53.7,"Лот fm32989 В продаже квартира с двумя спальнями в ЖК ""Бристоль"" в пяти минутах от Внуково Оutlet village.

Видовая квартира! Окна выходят на Ульяновский лесопарк и во двор. Вместительная планировка, тихая локация, своя детская игровая площадка и зона для занятий спортом. Правильная форма квартиры позволяет разместить гардеробную комнату и хозяйственный блок.

Жилой комплекс Бристоль расположен по Киевскому шоссе, в 7 километрах от МКАД, на территории Ульяновского лесопарка, вблизи населенного пункта Лапшинка. Недалеко находится аэропорт Внуково.

Вся инфраструктура в шаговой доступности: магазины, школы, детские сады, прогулочные зоны, зоопарк. Ближайшее метро - Рассказовка/Саларьево.

Оперативные показы. Возможность согласования дополнительной скидки в декабря! Успейте купить до нового года.

Юридическое сопровождение сделки входит в стоимость.

Помощь в одобрении ипотеки в ведущих банках Москвы.",,53.7,15.1,281.3
https://www.cian.ru/sale/flat/308255933/,https://images.cdn-cian.ru/images/2289265448-4.jpg,ЖК «Солнцево парк»,"Москва, НАО (Новомосковский), м. Пыхтино, Внуковское поселение, улица Летчика Ульянина, 3А",Пешком,11000000.0,214844.0,2.0,7.0,13.0,51.2,"Номер в базе: 960942. Уникальные видовые двухкомнатные апартаменты с изолированной кухней, общей площадью 51.2 кв.м. В 5 минутах от метро и с возможностью РЕГИСТРАЦИИ!

О апартаментах: 
Апартаменты расположены на 7 этаже 13 этажного дома. Прекрасный вид из окна! Все делали и покупали для себя, продаем в связи с потребностью расширения площади! Высота потолков 2,7 метра. Квартира очень светлая и приятная. Свежий ремонт, мебель и техника в прекрасном состоянии. Как для жизни, так и для сдачи подходит идеально. 

Окружение: 
Экологически чистый район Москвы. Развитый микрорайон. Две школы и три сада, взрослая и детская поликлиника, в 2 минутах центр развития творчества, спортивные секции, кружки для детей, а также частная школа. В пешей доступности отличный парк на берегу реки Ликова с мангальными зонами, лежаками для загара, прокатом лодок и сапов, а также Боровский парк с каскадными прудами, площадками для детей, кроссфита, выгула собак, лыжным прокатом. Дворы благоустроенные, с современными детскими и спортивными/скейт площадками.В составе комплекса: на первых этажах жилых домов (магазины, пункты выдачи, аптеки, салоны красоты). Новый, но обжитой район (без строек) с современными стандартами инфраструктуры. 

О доме: 
Дом 2020 года. В доме 2 лифта, 1 грузовой и 1 пассажирский. В подъезде всегда чисто. В вечернее и ночное время охрана! На этаже есть место для личных вещей (коляска, велосипед и тд.) Соседи тихие и спокойные. Просторная входная группа и на этажах есть так же домофон (прохожий с улицы не зайдет). 90% жильцов проживают на постоянной основе с соблюдением законов тишины, общедомовой чат с инициативной группой. 

Транспортная доступность: 
* 5 минут пешком до метро ""Пыхтино""
* 2 минуты пешком до остановки ""Улица Лётчика Ульянина""
* До МКАДа 15 минут на машине 

О документах: 
ДДУ. 1 взрослый собственник. Полная стоимость в договоре. Свободная продажа.
Код пользователя: 72568",,51.2,11.0,214.8
https://www.cian.ru/sale/flat/297239001/,https://images.cdn-cian.ru/images/2253602355-4.jpg,"ЖК «Новые Ватутинки, мкр. Заречный»","Москва, НАО (Новомосковский), м. Пыхтино, Новые Ватутинки жилрайон, Заречный мкр, 5/1",Транспортом,14954530.0,233300.0,2.0,6.0,14.0,64.1,"Продается 2-комн. квартира с отделкой в ЖК ""Новые Ватутинки. Заречный"" на 6 этаже. Общая площадь: 64.1 кв.м., жилая: 33.90 кв.м., площадь кухни-столовой: 14.4 кв.м. Высота потолков 2.82 м.

 Район находится в 14 километрах от МКАД по Калужскому шоссе в центре Новой Москвы. Доехать до района можно от станций метро Ольховая, Теплый Стан, и Бульвар Адмирала Ушакова на городских автобусах и маршрутных такси. Дорога от м. Теплый Стан и Ольховая занимает в среднем не более 20 минут даже в часы пик. В 2025 году начнется строительство собственной станции метро ""Десна"" в пешей доступности. Удобное расположение района и развитая социальная инфраструктура делают Новые Ватутинки образовательным и культурным центром Новой Москвы. 

Застройка нового микрорайона началась с трех корпусов с подземным паркингом, индивидуальными кладовыми и коммерческой галерей на первом этаже. Заречный имеет два удобных индивидуальных въезда на Калужское шоссе. Благодаря такому транспортному решению на въезде и выезде из района не будут образовываться пробки, а в перспективе жители, предпочитающие общественный транспорт, смогут пользоваться станцией метро Десна (Троицкой ветки). Так же здесь будут построены два общеобразовательных комплекса с детскими садами и школами, поликлиника и торговый центр. Через всю застройку микрорайона от проектируемой станции метро Десна до набережной реки и уже открытого парка ""Андерсен"" пройдет бульвар протяженностью 1,5 км с мини плазами, садами и скверами. Архитектурная концепция проекта предусматривает комфортную застройку с понижением этажности к бульвару, что создаст комфортную для человека среду. Концепция соблюдения баланса между городом и природой дополняется дворами без машин и без барьерной среды внутри всей застройки. Во дворах акцент делается на тихий отдых и игры для детей, а основная активность будет сосредоточена на масштабных плейхабах в зонах общественных пространств. Так, например, в парке ""Андерсен"" помимо пешеходных и велосипедных маршрутов, предусмотрены площадки для активных видов спорта, индивидуальных outdoor-тренировок, зоны для рыбалки, сапбординга и тюбинга. 

Предусмотрена обширная типология квартир с превосходными характеристиками просторные планировки, большие лоджии, две ванные комнаты. Свободная планировка квартир позволит с легкостью организовать место для отдыха, рабочее пространство и комфортную гостевую зону. На -1 этаже предусмотрены кладовые помещения для хранения сезонных и крупногабаритных вещей и паркинг с индивидуальными и семейными машино-местами. Для удобства автовладельцев в зону подземного паркинга можно попасть, спустившись на лифте со своего этажа. В проекте предусмотрена система видеодомофонии. В режиме онлайн жители будут получать оповещения о приходе гостя с возможностью открыть ему дверь в подъезд. Можно сохранять фотографии с камеры вызывной панели, чтобы посмотреть кто приходил, пока вас не было дома. Есть возможность подключения в приложении к видеокамерам в лифтах.",,64.1,15.0,233.3
https://www.cian.ru/sale/flat/311042271/,https://images.cdn-cian.ru/images/kvartira-vnukovskoe-letchika-gricevca-ulica-2345816743-4.jpg,ЖК «Солнцево парк»,"Москва, НАО (Новомосковский), м. Пыхтино, Внуковское поселение, улица Летчика Грицевца, 8",Пешком,12800000.0,234004.0,,,,,"О КВАРТИРЕ: Предлагаем вашему вниманию 2х комнатную квартиру в ЖК ""Солнцево Парк"".

Квартира видовая, светлая и очень просторная с правильной планировкой. Окна выходят в тихий двор, где располагаются современные детские площадки.
Квартира с хорошим, качественным ремонтом, полностью меблирована и готова к проживания.
В подъезде всегда чисто и убрано. Есть консьерж.

ИНФРАСТРУКТУРА:
Два детских садика, кафе и магазины, школы, банки, поликлиника и большой торговый центр. Рядом располагаются два парка Ульяновский лесопарк и Парк Пыхтино.
Удобно добираться до метро Пыхтино. Буквально 8-10 минут пешком.

О КОМПЛЕКСЕ:
На момент строительства ЖК ""Солнцево Парк"" был одним из крупнейших строящихся проектов Новой Москвы, имеющий мощное инфраструктурное ядро, строительство которого велось параллельно с возведением жилья. Изначально в основу проекта была заложена идея создания комфортной и безопасной территории для жизни, работы и отдыха, а более половины территории было отдано под зоны общественного пользования.

- Прямая продажа
- Полная стоимость в договоре
- Документы готовы к сделке

Звоните, отвечу на любые вопросы!",,nan,12.8,234.0
https://www.cian.ru/sale/flat/308905382/,https://images.cdn-cian.ru/images/kvartira-vnukovo-2-ya-reysovaya-ulica-2303060036-4.jpg,,"Москва, ЗАО, р-н Внуково, м. Пыхтино, улица 2-я Рейсовая, 25А",Транспортом,8800000.0,190065.0,2.0,11.0,12.0,46.3,"Предлагаем Вашему вниманию квартиру на 11 этаже с прекрасными видовыми характеристиками. Квартира теплая и уютная, комнаты изолированные, с/у раздельный, имеется большая застекленная лоджия. Удачное расположение, рядом парк и речка Ликова. Рядом спортивные, торговые и образовательные учреждения. Удобная транспортная доступность, до метро Внуково 17 минут пешком, до метро Пыхтино 25 минут пешком. В собственности более 5 лет, один взрослый собственник, свободная продажа, перепланировок нет. Рассмотрим все предложения.",,46.3,8.8,190.1
https://www.cian.ru/sale/flat/297238626/,https://images.cdn-cian.ru/images/2253603464-4.jpg,"ЖК «Новые Ватутинки, мкр. Заречный»","Москва, НАО (Новомосковский), м. Пыхтино, Новые Ватутинки жилрайон, Заречный мкр, 5/2",Транспортом,14884020.0,232200.0,2.0,6.0,9.0,64.1,"Продается 2-комн. квартира с отделкой в ЖК ""Новые Ватутинки. Заречный"" на 6 этаже. Общая площадь: 64.1 кв.м., жилая: 33.90 кв.м., площадь кухни-столовой: 14.4 кв.м. Высота потолков 2.82 м.

 Район находится в 14 километрах от МКАД по Калужскому шоссе в центре Новой Москвы. Доехать до района можно от станций метро Ольховая, Теплый Стан, и Бульвар Адмирала Ушакова на городских автобусах и маршрутных такси. Дорога от м. Теплый Стан и Ольховая занимает в среднем не более 20 минут даже в часы пик. В 2025 году начнется строительство собственной станции метро ""Десна"" в пешей доступности. Удобное расположение района и развитая социальная инфраструктура делают Новые Ватутинки образовательным и культурным центром Новой Москвы. 

Застройка нового микрорайона началась с трех корпусов с подземным паркингом, индивидуальными кладовыми и коммерческой галерей на первом этаже. Заречный имеет два удобных индивидуальных въезда на Калужское шоссе. Благодаря такому транспортному решению на въезде и выезде из района не будут образовываться пробки, а в перспективе жители, предпочитающие общественный транспорт, смогут пользоваться станцией метро Десна (Троицкой ветки). Так же здесь будут построены два общеобразовательных комплекса с детскими садами и школами, поликлиника и торговый центр. Через всю застройку микрорайона от проектируемой станции метро Десна до набережной реки и уже открытого парка ""Андерсен"" пройдет бульвар протяженностью 1,5 км с мини плазами, садами и скверами. Архитектурная концепция проекта предусматривает комфортную застройку с понижением этажности к бульвару, что создаст комфортную для человека среду. Концепция соблюдения баланса между городом и природой дополняется дворами без машин и без барьерной среды внутри всей застройки. Во дворах акцент делается на тихий отдых и игры для детей, а основная активность будет сосредоточена на масштабных плейхабах в зонах общественных пространств. Так, например, в парке ""Андерсен"" помимо пешеходных и велосипедных маршрутов, предусмотрены площадки для активных видов спорта, индивидуальных outdoor-тренировок, зоны для рыбалки, сапбординга и тюбинга. 

Предусмотрена обширная типология квартир с превосходными характеристиками просторные планировки, большие лоджии, две ванные комнаты. Свободная планировка квартир позволит с легкостью организовать место для отдыха, рабочее пространство и комфортную гостевую зону. На -1 этаже предусмотрены кладовые помещения для хранения сезонных и крупногабаритных вещей и паркинг с индивидуальными и семейными машино-местами. Для удобства автовладельцев в зону подземного паркинга можно попасть, спустившись на лифте со своего этажа. В проекте предусмотрена система видеодомофонии. В режиме онлайн жители будут получать оповещения о приходе гостя с возможностью открыть ему дверь в подъезд. Можно сохранять фотографии с камеры вызывной панели, чтобы посмотреть кто приходил, пока вас не было дома. Есть возможность подключения в приложении к видеокамерам в лифтах.",,64.1,14.9,232.2
https://www.cian.ru/sale/flat/303625618/,https://images.cdn-cian.ru/images/2197889651-4.jpg,ЖК «Солнцево парк»,"Москва, НАО (Новомосковский), м. Пыхтино, Внуковское поселение, улица Летчика Грицевца, 12",Пешком,14300000.0,244027.0,2.0,17.0,17.0,58.6,"Номер в базе: 666359. Продается 2-x кoмнaтная квартира в ЖК Солнцево-Парк. В экологически чистом районе Москвы, напротив Ульяновского лесопарка.
Сделан косметический ремонт - в приятных светлых тонах. Квартира удобной планировки на две стороны. 
Просторная кухня (12,9 кв м), комнаты просторные, правильной формы, два балкона. Квартира расположена на 17 этаже, это большой плюс, есть технический этаж, тишина и покой, минимум соседей. Из окон вид во двор, напротив нет высоких зданий. Квартира очень тёплая.
В доме консьерж, приятные чистые парадные, ухоженная придомовая территория.
В доме расположены аптеки, магазины, во дворе детский сад и поликлиника.
Школа в 5 минутах ходьбы. Рядом магазины ""Перекрёсток"", ""Дикси"", ""Пятёрочка"", в 15 мин ходьбы Selgros.
В 5 минутах ходьбы излюбленное место жителей микрорайона- парк Боровский , в парке есть зона для активного отдыха, занятий спортом, детская площадка, площадка для выгула собак, скейт площадка, парк Пыхтино в 10 минутах хотьбы, в даный момент идет строительство второй школы. 
Отличная транспортная развязка , метро Пыхтино 12 минут пешком, Рассказовка 7 мин на транспорте. 
Удобный выезд на Боровское, Киевское и Минское шоссе.
Звоните и записывайтесь на просмотр!
Код пользователя: 44698",,58.6,14.3,244.0
https://www.cian.ru/sale/flat/287506603/,https://images.cdn-cian.ru/images/kvartira-vnukovskoe-borisa-pasternaka-ulica-2303906397-4.jpg,,"Москва, НАО (Новомосковский), м. Пыхтино, Внуковское поселение, улица Бориса Пастернака, 43",Транспортом,11500000.0,222437.0,2.0,4.0,19.0,51.7,"Квартира без ремонта, от застройщика. 
Собственность, без долей, без мат. капитала. СРОЧНАЯ ПРОДАЖА ! торг уместен",,51.7,11.5,222.4
https://www.cian.ru/sale/flat/305331265/,https://images.cdn-cian.ru/images/2345611704-4.jpg,ЖК «Переделкино Ближнее Город-парк»,"Москва, НАО (Новомосковский), м. Пыхтино, Переделкино Ближнее мкр, 17-й кв-л, к3",Пешком,16987528.0,311127.0,2.0,16.0,17.0,54.6,"Дома у парка ""Рассказовка""! 
Продается двухкомнатная квартира  с отделкой в городе-парке ""Переделкино Ближнее"".
Общая площадь квартиры - 54,6 кв. м, этаж 16 из 17. 
Срок сдачи - 3 квартал 2025 года.
Тип дома - монолитный. 
 
В квартире будет выполнена высококачественная отделка ""под ключ"". На выбор представлены два стиля отделки: 
- Classic (классический стиль)  традиционное сочетание материалов и фактур  тёмный, тёплый по тону пол и светлые нейтральные стены, керамогранит с рисунком под мрамор. 
- Smart+ (современный стиль)  нейтральная цветовая гамма с использованием бетонных фактур и темного керамогранита, керамическая плитка до потолка в ванной и санузле.
Независимо от того, какой стиль отделки выберите Вы, можете быть уверенными, что цветовое сочетание будет актуальным долгие годы. 
 
Город-парк ""Переделкино Ближнее"" расположен в 8 км от МКАД по Боровскому шоссе. 
 
ТРАНСПОРТНАЯ ДОСТУПНОСТЬ: 
 
- В пешей доступности находится МЦД-4 ""Мичуринец""
- 7 минут пешком до станции метро ""Рассказовка"" Солнцевской линии
- 14 минут на машине до станции метро ""Филатов Луг"" Сокольнической линии
- 30 минут до центра Москвы 
 
БЛАГОУСТРОЙСТВО: 
 
Новая фаза строительства уникальна своим расположением -  в шаговой доступности от парка ""Рассказовка"", а также  рядом с современным парком ""Переделкино Ближнее"". Все жители 17 фазы смогут комфортно провести время рядом с домом: инфраструктура нового парка включает в себя  благоустроенный пляж, площадки детского развития, современный спортивный кластер с пунктом проката инвентаря, велотрассу, памптрек, ресторан на воде, пирс, лодочную станцию. 
 
ВНУТРЕННЯЯ ИНФРАСТРУКТУРА: 
 
На территории проекта есть все необходимые объекты социальной и бытовой инфраструктуры: 7 детских садов, 3 школы, магазины, паркинги, аптеки и др.
Огороженный двор без машин, в каждом дворе будут установлены уникальные игровые и спортивные площадки, разработанные ведущими мировыми экспертами. 
 
АВТОРСКИЙ ДИЗАЙН: 
 
Современный монолитный дом. Входные группы домов выполнены по авторскому дизайну. Колясочные располагаются при входе. Велопарковка располагается на -1 этаже. Первые этажи облицованы клинкерным кирпичом. На фасаде предусмотрены корзины для установки кондиционеров.",,54.6,17.0,311.1
