card_url,image_url,Адрес,От метро,"Цена, ₽","Цена за м², ₽",description,Комнат,Этаж,Этажность,Площадь,В ЖК,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://www.cian.ru/sale/flat/310582278/,https://images.cdn-cian.ru/images/2336062599-4.jpg,"Москва, ЮАО, р-н Чертаново Центральное, м. Чертановская, улица Красного Маяка, 13АК4",Транспортом,14700000.0,236334.0,"Номер лота: 88963. Предлагается квартира общей площадью 62,2 м² с ремонтом и большим балконом 4,5 м², на 2 этаже 9-этажного дома, в 5 минутах на автомобиле от станции метро ""Пражская"". Функциональная планировка: гостиная 18,8 м², изолированные комнаты - спальни 9 м², 9,4 м² с выходом на балкон, кухня 5,9 м², просторная прихожая, санузел раздельный. Окна на две стороны, подвесные потолки, пол - ламинат, стены - обои. Тамбур на две квартиры. Чистый, ухоженный подъезд, мусоропровод.

Инфраструктура:

В районе имеется вся необходимая инфраструктура. Функционируют 14 общеобразовательных школ, включая две школы и детских сада  1173 - в 5 минутах ходьбы от подъезда. Получить медицинскую помощь можно в двух государственных взрослых поликлиниках и двух медцентрах ""А-Линия"". Работают сетевые продуктовые магазины: ""Пятёрочка"", ""Магнит"" рядом с домом. Поблизости находится крупнейший в Москве торгово-развлекательный центр ""Columbus"" с магазинами для взрослых и детей, семейным парком, фитнес-центром, гипермаркетом ""ОКЕЙ"" и кинотеатром.

Центром притяжения района является второй по величине (2208,4 га) в Москве природно-исторический парк ""Битцевский лес"" с экологическими тропами, водоёмом, детскими площадками, кинологическим центром, мини-зоопарком и тремя усадьбами, включая усадьбу ""Ясенево"". Развлечения как летом, так и зимой. В парке есть несколько лыжных трасс, протяженность каждой из которых около 5 км. Функционирует горнолыжный склон ""Узкое"" с одним из самых протяженных горнолыжных склонов в городе. 

Развитая транспортная доступность. Рядом с домом остановка общественного транспорта ""Спортбаза"": автобусы  922,  96 и  941 маршрутом до станций метро ""Пражская"", ""Южная"" и ""Улица Академика Янгеля"". Удобный выезд на Юго-Восточную хорду (ЮВХ) и Московский скоростной диаметр (МСД), Варшавское и МКАД.

Документы:

2 взрослых собственника, более 5 лет. Без обременений. Альтернативная продажа. Безопасность сделки обеспечена стандартами российской Гильдии Риелторов. 4-комнатная квартира рядом с метро Чертановская.",,,,,,,nan,14.7,236.3
https://www.cian.ru/sale/flat/306445663/,https://images.cdn-cian.ru/images/2251796891-4.jpg,"Москва, ЮАО, р-н Чертаново Центральное, м. Чертановская, Днепропетровская улица, 27к1",Транспортом,16200000.0,261290.0,"Арт. 72556941 Продается прекрасная квартира для  семьи рядом с парком,
Сделан хороший ремонт из качественных материалов с заменой электропроводки и всей сантехники.
Перепланировок нет, три изолированные комнаты и одна общая гостинная позволит комфортно разместиться.
Кухня со встроенной техникой и стиральная машинка остаются в подарок новому собственнику.
В доме ведется капитальный ремонт
Удобная транспортная доступность от двух станций метро, рядом вся необходимая инфраструктура для комфортного проживания
Свободная продажа, никто не прописан Купить 4-комнатную квартиру рядом с метро Чертановская.",,,,,,,nan,16.2,261.3
https://www.cian.ru/sale/flat/311631882/,https://images.cdn-cian.ru/images/2358803940-4.jpg,"Москва, ЮАО, р-н Чертаново Центральное, м. Чертановская, Днепропетровская улица, 29",Транспортом,13200000.0,196137.0,"Id 26525. Новогодние праздники - отличное время чтобы посмотреть эту квартиру!

Дорогие покупатели и коллеги!
С удовольствием предлагаю Вам уютную, до краев наполненную, солнечным светом, теплом и позитивной энергией квартиру!

Почитатели комфортной жизни по достоинству оценят:

- Удобное расположение. В пределах 15-20 минут пешком находятся станции метро Пражская и Южная

- Район утопает в тишине и зелени! Всего в 300 метрах от дома — бескрайний Битцевский лес, идеальное место для активных прогулок и отдыха после напряженного дня. В 100 метрах живописный сквер и пруд.

- Окрестности не перегруженные людьми и автомобилями, обжитый и укомплектованный всей необходимой инфраструктурой уютный уголок. (Школы, детские сады, магазины, кафе, больницы и Т.Д.).

- Ухоженный дом, в хорошем состоянии.

- Высокий 7-ой этаж, благодаря отсутствию растительности на уровне окон, в квартире много естественного солнечного света!

- Практичную и функциональную планировку, позволяющую реализовать ваши идеи. 

- Площадь с учетом лоджии 67,3м2 без учета 62.7м2.

- Квартира в руках одной семьи всё время своего существования.
* Полная стоимость в ДКП. 
* 1 взрослый совершеннолетний собственник.
* Никаких обременений и ограничений.
* Свободная продажа.
* Ипотека приветствуется!

- Понравилась эта квартира, но еще не продали свою? Не проблема, обращайтесь, поможем!

Спешите записаться на просмотр!
Каждому позвонившему гарантированно позитивное настроение Продается 4-комнатная квартира рядом с метро Чертановская.",4.0,7.0,9.0,67.3,,,67.3,13.2,196.1
https://www.cian.ru/sale/flat/310533480/,https://images.cdn-cian.ru/images/kvartira-moskva-dnepropetrovskaya-ulica-2335211556-4.jpg,"Москва, ЮАО, р-н Чертаново Центральное, м. Чертановская, Днепропетровская улица, 27к1",Транспортом,16500000.0,261905.0,"Прекрасная четырехкомнатная квартира после качественного ремонта. 
комнаты изолированы 
много мест для хранения
кухня оборудована бытовой техникой 
лоджия застекленная 

готовы быстро выйти на сделку, документы готовы",4.0,3.0,9.0,63.0,,,63.0,16.5,261.9
https://www.cian.ru/sale/flat/311665434/,https://images.cdn-cian.ru/images/kvartira-moskva-chernomorskiy-bulvar-2359473464-4.jpg,"Москва, ЮАО, р-н Нагорный, м. Чертановская, Черноморский бульвар, 4",Пешком,24990000.0,340928.0,"Предлагается четырёхкомнатная квартира с изолированными комнатами, имеется два остеклённых балкона.  Квартира распашонка предпологает максимально функциональное использование  площади, а также всевозможные варианты перепланировки! Прекрасное месторасположение, в пешей доступности метро Варшавская и Чертановская, развитая инфраструктура: рядом школа, садики, супермаркеты, фитнес-клуб, а так же сам Черноморский бульвар отличное место для прогулок.

Так же квартиру можно перевести в нежилой фонд и использовать для комерчесских целях (например: офис, салон красоты, аптека, нотариальная контора и прочие)

По документам: 1 взрослый собственник, полная стоимость в ДКП, свободная продажа, без обремений. Выход на сделку возможен в феврале Продам 4-комнатную квартиру рядом с метро Чертановская.",4.0,1.0,9.0,73.3,,,73.3,25.0,340.9
https://www.cian.ru/sale/flat/310537650/,https://images.cdn-cian.ru/images/kvartira-moskva-dnepropetrovskaya-ulica-2335315430-4.jpg,"Москва, ЮАО, р-н Чертаново Центральное, м. Чертановская, Днепропетровская улица, 5К4",Транспортом,13500000.0,210608.0,"Квартира угловая, теплая. Последний подъезд по соседству со школой. Метро в  шаговой доступности. 

Свободная продажа. Один взрослый собственник. Покупалась по ДКП в 2024г. с торгов за собственные средства. Обременений и долгов нет. Никто не прописан. Перепланировок нет.",4.0,3.0,9.0,64.1,,,64.1,13.5,210.6
https://www.cian.ru/sale/flat/312177606/,https://images.cdn-cian.ru/images/2370455407-4.jpg,"Москва, ЮАО, р-н Чертаново Северное, м. Чертановская, Сумской проезд, 12К5",Пешком,27000000.0,330477.0,"Id 26674. Свободная продажа.

Один взрослый собственник.

Обременений нет.
Долгов нет.
Залогов нет.

Квартира под ремонт. Пустая. 

Общая площадь 83,9 кв.м. (с учетом лоджий).
Общая площадь 81,7 кв.м. (без учета лоджий).

Перепланировки нет.

В КВАРТИРЕ: 
Четыре изолированные комнаты.
Два сан.узла, включая гостевой.
Кухня 11.4кв.м.
Две большие лоджии (на кухне и в гостинной).
Большая квадратная прихожая.
Высота потолков 270 см.

Дом ТСЖ.
В подъезде два лифта: грузовой и пассажирский.
Просторный входной вестибюль в подъезде.

До метро Чертановская 200 метров.

Покажем по предварительной договоренности. Продажа.",4.0,6.0,16.0,81.7,,,81.7,27.0,330.5
https://www.cian.ru/sale/flat/310918515/,https://images.cdn-cian.ru/images/2343190344-4.jpg,"Москва, ЮАО, р-н Чертаново Северное, м. Чертановская, Северное Чертаново мкр, 2к203",Пешком,33000000.0,371204.0,"Предлагается на продажу 4-комнатная квартира с двумя лоджиями в мкр. Северное Чертаново, площадью 88.9 кв.м.

Преимущества лота:

- Три спальни;
- Три просторные лоджии;
- Шикарные виды на Большой Чертановский пруд;
- Подземный паркинг;
- Высокие потолки (2.7м);
- Консьерж сервис;
- Прекрасный просторный и ухоженный холл в подъезде.

Функциональная планировка:

- Отдельная кухня- 10.3 кв.м.;
- Просторная гостиная зона- 19.2 кв.м.;
- Спальня с выходом на лоджию- 12.8 кв.м.;
- Детская/спальня с выходом на лоджию- 11 кв.м.;
- Спальня/кабинет с выходом на лоджию- 13.1 кв.м.;
- Совмещенный санузел- 3.65 кв.м.;
- Раздельный санузел- 2 кв.м.;
- Прихожая зона- 12.7 кв.м.;


Инфраструктура района:

В пешей доступности есть все необходимое для комфортной жизни семьи:

- Школа;
- Детский сад;
- Спорт.зал;
- Спортивная секция;
- Салоны красоты;
- Кофейни;
- Отделения банков;
- Магазины;
- Аптеки;
- Поликлиники;
- Автосервисы.

Напротив дома расположен Большой Чертановский пруд.
В пешей доступности Битцевский лес, Кировоградский бульвар, Детский парк на Сумском проезде, Сквер РИК.

Транспортная доступность:

- Метро Чертановская- 6 минут пешком;
- Варшавское шоссе- 10 минут на автомобиле;
- ТТК- 20 мин на автомобиле.

Быстрый выход на сделку! Работаем с любовью, без комиссии для покупателя!",4.0,9.0,15.0,88.9,,,88.9,33.0,371.2
https://www.cian.ru/sale/flat/312191912/,https://images.cdn-cian.ru/images/kvartira-moskva-kirovogradskaya-ulica-2370781044-4.jpg,"Москва, ЮАО, р-н Чертаново Северное, м. Чертановская, Кировоградская улица, 2",Пешком,32000000.0,321608.0,"Квартира после косметического ремонта , на кухни керамогранит с теплым полом , в комнатах паркетная дубовая доска , все комнаты изолированные, лоджия застеклена , окна Веко 3 -й пакет . Территория огорожена по двору внутри  машины не ездят , что идеально для прогулки с детьми. Соседи добрые , адекватные , без шумных гуляний. В подъезде всегда чисто , терминалы для оплаты , вежливые консьержи. Дом расположен по середине между двумя станциями метро Чертановская и Южная до каждой 10 минут пешком , рядом детские сады и школы . Так же на первом этаже детская студия развития с бюджетными местами. На территории дома большая детская площадка и футбольное поле летом , зимой каток . Дети спокойно могут играть , кататься на велосипедах во дворе без машин !!! Зимой  во дворе всегда чистят от снежных заносов своим трактором , ТСЖ не завит от городских служб. Летом высаживают много  цветов , вдоль забора цветет сирень . Один взрослый собственник, за квартирой закреплено машиноместо около дома на охраняемой стоянке . Квартира без Долгов и обременений. Агентов просьба не беспокоить!",4.0,12.0,22.0,99.5,,,99.5,32.0,321.6
https://www.cian.ru/sale/flat/311892591/,https://images.cdn-cian.ru/images/kvartira-severnoe-chertanovo-2363989153-4.jpg,"Москва, ЮАО, р-н Чертаново Северное, м. Чертановская, Северное Чертаново мкр, 1А",Пешком,55000000.0,407407.0,"ЖК Авеню-77, СВЕЖИЙ ДИЗАЙНЕРСКИЙ РЕМОНТ из дорогостоящих материалов в стиле Арт-деко по новейшим технологиям, вся мебель и техника мировых брендовых марок, ВСЕ ОСТАЕТСЯ!!! ПАНОРАМНАЯ КВАРТИРА ,завораживающий вид на парк , пруды, церковь и город , особенно в вечернее время. Комплекс полностью заселен, благоустроен, огорожен, круглосуточная охрана,видеонаблюдение , подземный паркинг, окна на 2 стороны: 2 окна на пруд и церковь , 2 окна на Битцевский лесопарк, рядом с метро и прудами, пот.3.1, 3 с/у, продуманная удобная планировка:просторная совмещенная кухня-гостиная с окнами на парк, три спальни: две со своим сан узлами , третья спальня поделена на рабочую зону с кабинетом с видом на парк, две гардеробных комнаты, три сан узла, встроенные шкафы, оборудована постирочной с сушкой, подъезд с охраной , 4 квартиры на этаже, квартира свободна; отдельно продаётся м/место в п/паркинге, в комплексе вся инфраструктура: торговый центр, кинозалы, бассейн, супермаркеты, рядом поликлиники и элитные детские сады и два лицея, в том числе Бауманский на Балаклавском проспекте. Экологически чистый район Москвы. Удобные транспортные развязки. Прямая продажа, 1 взрослый собственник, выписка до сделки. Показ по договоренности",4.0,24.0,41.0,135.0,ЖК «Авеню 77»,,135.0,55.0,407.4
